"Name","AnimationSet","ToolBone","ToolBoneSecondary","CarryBone","BaseModel","BaseLayer","LayerVisible","ColorizableClothingMaterials","SkinColorize","SkinEmission","HairColorize","HairEmission","ClothingColorize","ClothingEmission","SkinColoredMaterials","HairColoredMaterials","FaceCamera","BustCamera","BodyCamera","WorkCamera","FaceBusyAnimation","FaceIdleAnimation","FaceBlockedAnimation","FaceHungryAnimation","FacePermBlockedAnimation","FaceIntroAnimation"
,,,,,,"outfit_03_skirt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_07_shoes_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_06_shoes_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_05_shoes_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_04_shoes_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_03_shoes_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_02_shoes_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_01_shoes_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_00_shoes_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_07_shirt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_06_shirt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_05_shirt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_04_shirt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_03_shirt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_06_hood_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_07_pants_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_06_pants_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_05_pants_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_04_pants_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_03_pants_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_07_bracelets_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_05_bracelets_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_04_gloves_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_03_bracelets_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_02_bracelets_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race3_hair_04_bottom_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race3_hair_03_top_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race3_hair_03_bottom_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race3_hair_02_bottom_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race3_hair_01_top_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race3_hair_01_bottom_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race3_hair_00_top_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race3_hair_00_bottom_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race2_hair_04_top_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race2_hair_04_bottom_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race2_hair_03_top_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race2_hair_03_bottom_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race2_hair_02_bottom_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race2_hair_01_top_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race2_hair_01_bottom_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race2_hair_00_top_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race2_hair_00_bottom_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race1_hair_04_top_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race1_hair_04_bottom_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race1_hair_03_top_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race1_hair_03_bottom_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race1_hair_02_top_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race1_hair_02_bottom_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race1_hair_01_top_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race1_hair_01_bottom_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race1_hair_00_top_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race1_hair_00_bottom_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_07_belt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_06_belt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_05_belt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_04_belt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_03_belt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_02_belt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_00_belt_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"wedding_costume_00_wristBand_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"wedding_costume_00_sleeves_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"wedding_costume_00_skirt_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"wedding_costume_00_shoes_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"wedding_costume_00_shirt_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"wedding_costume_00_scarf_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"wedding_costume_00_pants_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"wedding_costume_00_head_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"wedding_costume_00_handkerchief_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"wedding_costume_00_belt_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"rooster_costume_00_torso_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"rooster_costume_00_tail_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"rooster_costume_00_skirt_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"rooster_costume_00_shoes_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"rooster_costume_00_pants_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"rooster_costume_00_hat_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"rooster_costume_00_belt_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"researcher_costume_00_torso_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"researcher_costume_00_sleeves_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"researcher_costume_00_shoes_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"researcher_costume_00_pants_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"researcher_costume_00_hat_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"researcher_costume_00_glasses_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"quarrymaster_costume_00_torso_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"quarrymaster_costume_00_sleeves_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"quarrymaster_costume_00_skirt_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"quarrymaster_costume_00_shoes_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"quarrymaster_costume_00_pants_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"quarrymaster_costume_00_hat_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"quarrymaster_costume_00_gloves_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"quarrymaster_costume_00_belt_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"quarrymaster_costume_00_basket_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"pirate_costume_00_hat_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"lumberjack_costume_00_torso_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"lumberjack_costume_00_skirt_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"lumberjack_costume_00_shoes_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"lumberjack_costume_00_hat_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"lumberjack_costume_00_gloves_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"lumberjack_costume_00_belt_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"fish_costume_00_torso_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"fish_costume_00_skirt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"fish_costume_00_shoes_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"fish_costume_00_pants_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"fish_costume_00_hat_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"fish_costume_00_belt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"claymaster_costume_00_torso_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"claymaster_costume_00_skirt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"claymaster_costume_00_shoes_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"claymaster_costume_00_pants_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"claymaster_costume_00_hat_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"claymaster_costume_00_gloves_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"claymaster_costume_00_belt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"rooster_costume_00_sleeves_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"quarrymaster_costume_00_shoulders_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"stump_costume_00_torso_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"stump_costume_00_sleeves_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"stump_costume_00_skirt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"stump_costume_00_shoes_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"stump_costume_00_pants_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"stump_costume_00_hat_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"stump_costume_00_belt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"lumberjack_costume_00_pants_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"tempworker_costume_00_upper_body_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"tempworker_costume_00_tools_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"tempworker_costume_00_legs_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"tempworker_costume_00_helmet_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"tempworker_costume_00_gloves_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"tempworker_costume_00_dress_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"tempworker_costume_00_belt_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"scarecrow_costume_00_top_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"scarecrow_costume_00_sleeves_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"scarecrow_costume_00_skirt_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"scarecrow_costume_00_shoes_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"scarecrow_costume_00_scarf_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"scarecrow_costume_00_pants_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"scarecrow_costume_00_hat_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"scarecrow_costume_00_belt_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"gardener_costume_00_top_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"gardener_costume_00_sleeves_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"gardener_costume_00_shoes_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"gardener_costume_00_poncho_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"gardener_costume_00_pants_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"gardener_costume_00_hat_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"gardener_costume_00_glove_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"gardener_costume_00_bracelet_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"gardener_costume_00_bag_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"festival_costume_00_top_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"festival_costume_00_socks_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"festival_costume_00_sleeves_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"festival_costume_00_shorts_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"festival_costume_00_shoes_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"festival_costume_00_scarf_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"festival_costume_00_horses_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"festival_costume_00_hat_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"festival_costume_00_bow_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"festival_costume_00_belt_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race3_hair_04_top_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race3_hair_02_top_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race2_hair_02_top_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"adventurer_costume_00_top_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"adventurer_costume_00_sleeves_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"adventurer_costume_00_sleepingbag_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"adventurer_costume_00_pants_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"adventurer_costume_00_hat_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"adventurer_costume_00_gloves_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"adventurer_costume_00_bracelet_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"adventurer_costume_00_boots_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"adventurer_costume_00_belt_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"adventurer_costume_00_backpack_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"scarecrow_costume_00_bird_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"scarecrow_costume_00_bird_eyes_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"pirate_costume_00_torso_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"pirate_costume_00_sleeves_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"pirate_costume_00_skirt_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"pirate_costume_00_shoes_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"pirate_costume_00_pants_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"pirate_costume_00_belt_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"camper_costume_00_top_patch_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"camper_costume_00_top_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"camper_costume_00_sock_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"camper_costume_00_skirt_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"camper_costume_00_shorts_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"camper_costume_00_shoes_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"camper_costume_00_scarf_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"camper_costume_00_fishingrod_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"camper_costume_00_cap_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"camper_costume_00_belt_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"camper_costume_00_backpack_geo:PIV","false",,,,,,,,,,,,,,,,,,,
"villager_carolina","Carolina_2","R_tool_s","L_tool_s","carry_item_s","sc3d/char_carolina_rig.glb","race3_head_geo","false","char_carolina_clothing_mat",,,,,3644415,4156310,"char_carolina_skin_mat","char_carolina_hair_mat","faceCameraShape","faceCameraShape","bodyCameraShape","UI_work_CameraShape","UiWorking","UiIdle","UiBlocked","UiHungry","UiPermBlocked","UiIntro"
,,,,,,"race3_eyes_geo","false",,,,,,15198055,7092280,,,,,,,,,,,,
,,,,,,"race2_head_geo","false",,,,,,7972590,1776505,,,,,,,,,,,,
,,,,,,"race2_eyes_geo","false",,,,,,9814224,5525833,,,,,,,,,,,,
,,,,,,"outfit_02_sleeves_geo","false",,,,,,13861540,8143702,,,,,,,,,,,,
,,,,,,"outfit_01_sleeves_geo","false",,,,,,1644930,3819644,,,,,,,,,,,,
,,,,,,"outfit_00_long_skirt_geo","false",,,,,,5034670,2904888,,,,,,,,,,,,
,,,,,,"outfit_00_shoes_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_00_shawl_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_00_bracelets_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_01_belt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_00_belt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"arms_geo","true",,,,,,,,,,,,,,,,,,,
,,,,,,"race1_head_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race1_eyes_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_02_long_skirt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_01_shoes_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_01_shawl_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_01_shorts_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_01_gloves_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_01_bag_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"legs_geo","true",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_07_sleeves_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_06_sleeves_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_04_sleeves_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_00_sleeves_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_05_skirt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_00_skirt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_07_long_skirt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_07_shoes_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_06_shoes_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_05_shoes_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_04_shoes_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_03_shoes_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_02_shoes_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_07_shirt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_06_shirt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_05_shirt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_04_shirt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_00_shirt_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_06_shawl_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_04_shawl_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_03_shawl_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_02_shawl_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_06_shorts_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_05_pants_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_04_pants_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_03_shorts_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_00_shorts_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_07_bracelets_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_06_bracelets_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_05_braclets_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_04_gloves_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"outfit_02_bracelets_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race3_hair_04_top_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race3_hair_04_bottom_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race3_hair_03_top_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race3_hair_03_bottom_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race3_hair_02_top_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race3_hair_02_bottom_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race3_hair_01_top_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race3_hair_01_bottom_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race3_hair_00_top_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race3_hair_00_bottom_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race2_hair_04_bottom_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race2_hair_03_top_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race2_hair_03_bottom_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race2_hair_02_top_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race2_hair_02_bottom_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race2_hair_01_top_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race2_hair_01_bottom_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race2_hair_00_top_geo:PIV","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race2_hair_00_bottom_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race1_hair_04_top_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race1_hair_04_bottom_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race1_hair_03_top_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race1_hair_03_bottom_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race1_hair_02_bottom_geo","false",,,,,,,,,,,,,,,,,,,
,,,,,,"race1_hair_01_top_geo","false",,,,,,,,,,,,,,,,,,,
