"Name","NumberValue","BooleanValue","TextValue","NumberArray","AltNumberArray","StringArray","AltStringArray","HexArray"
"CANCEL_GAME_INPUT_ON_PAN_AND_PINCH",,"TRUE",,,,,,
"ALWAYS_SEND_DEVICE_TOKEN_MESSAGE_AFTER_SECONDS",15,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"SHOW_CONTEXT_MENU_FOR_PLAYER",,"TRUE",,,,,,
"APPLY_REPLAY_COMPATIBILITY_IF_CONTENT_VERSION",0,,,,,,,
"MIN_COMPATIBLE_CONTENT_VERSION_FOR_REPLAY",0,,,,,,,
"ENABLE_SCREENRECORDING",,"FALSE",,,,,,
"SEND_CONNECTION_TYPE_INFO",,"TRUE",,,,,,
"FINISH_DEFERRED_TRANSACTION_IN_HOURS",24,,,,,,,
"RESET_PENDING_TRANSACTION_WHEN_FINISHING_DEFERRED_PURCHASE",,"TRUE",,,,,,
"DO_GOOGLE_LOGIN_AT_STARTUP",,"TRUE",,,,,,
"SHOW_INGAME_MAINTENANCE_SCREEN",,"FALSE",,,,,,
"USE_DEEP_LINKING",,"TRUE",,,,,,
"SHOW_SHORT_NOTIFICATIONS",,"TRUE",,,,,,
"NEWS_DEFAULT_ITEM",,,"news_entry_dynamic",,,,,
"NEWS_DEFAULT_ICON",,,"news_tutor_icon",,,,,
"TRACK_MODULO",13,,,,,,,
"TRACK_CURRENCY_BALANCE",,"TRUE",,,,,,
"MINIMUM_LIVE_CHAT",-1,,,,,,,
"EVENT_LOCAL_NOTIF_TH_MIN_LIMIT",3,,,,,,,
"PRELOAD_SOUNDS",,"FALSE",,,,,,
"SHARE_TAGS_ENABLED",,"FALSE",,,,,,
"DEFERRED_FILE_DOWNLOAD_ENABLED",,"TRUE",,,,,,
,,,,,,,,
"MAX_MILLIS_AHEAD_OF_SERVER",10000,,,,,,,
"TARGET_MILLIS_AHEAD_OF_SERVER",2600,,,,,,,
"SYNC_BUFFER_TIME_MILLIS",1000,,,,,,,
"SYNC_FORBID_END_TURN_BEHIND_MILLIS",400,,,,,,,
"MAX_END_TURN_INTERVAL_MILLIS",5000,,,,,,,
"MIN_END_TURN_INTERVAL_MILLIS",500,,,,,,,
"TIME_SYNC_INTERVAL_MILLIS",2000,,,,,,,
,,,,,,,,
"SHADOW_R",0,,,,,,,
"SHADOW_G",0,,,,,,,
"SHADOW_B",48,,,,,,,
"SHADOW_A",50,,,,,,,
"SHADOW_OFFSET_X",100,,,,,,,
"SHADOW_OFFSET_Y",100,,,,,,,
"SHADOW_BLUR_DISTANCE",170,,,,,,,
"LIGHT_SOURCE_X",50,,,,,,,
"LIGHT_SOURCE_Y",60,,,,,,,
"LIGHT_SOURCE_Z",-130,,,,,,,
,,,,,,,,
"CAMERA_ANGLE_X",-35,,,,,,,
"CAMERA_ANGLE_Z",-45,,,,,,,
"CAMERA_TARGET_FOV_Y",25,,,,,,,
"CAMERA_MAX_FOV_Y",33,,,,,,,
,,,,,,,,
"GRAYOUT_R",227,,,,,,,
"GRAYOUT_G",143,,,,,,,
"GRAYOUT_B",87,,,,,,,
,,,,,,,,
"BLUR_ENABLED",,"TRUE",,,,,,
"BLUR_SIZE",10,,,,,,,
"BLUR_ADD_R",0,,,,,,,
"BLUR_ADD_G",0,,,,,,,
"BLUR_ADD_B",0,,,,,,,
"BLUR_MUL_R",200,,,,,,,
"BLUR_MUL_G",185,,,,,,,
"BLUR_MUL_B",150,,,,,,,
"BLUR_GREYSCALE",0,,,,,,,
,,,,,,,,
"ROOF_COLOR_VARIATIONS_COLORIZE",,,,,,,,"0xFFFFCB00"
,,,,,,,,"0xFF00b1ff"
,,,,,,,,"0xFFff8000"
,,,,,,,,"0xFF3c647f"
,,,,,,,,"0xFFb03bfa"
,,,,,,,,"0xFFfa60f9"
,,,,,,,,"0xFF00ce3b"
,,,,,,,,
,,,,,,,,
"ROOF_COLOR_VARIATIONS_EMISSIVE",,,,,,,,"0xFFD07200"
,,,,,,,,"0xFF000f7d"
,,,,,,,,"0xFFa23000"
,,,,,,,,"0xFF281227"
,,,,,,,,"0xFF0a1a3a"
,,,,,,,,"0xFF561356"
,,,,,,,,"0xFF001814"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"INTERACTIVE_ZOOM_SIZE",450,,,,,,,
"INTERACTIVE_ZOOM_SIZE_NATION",2000,,,,,,,
"INTERACTIVE_PAN_DISTANCE",80,,,,,,,
,,,,,,,,
"FINGERTIP_SIZE",6,,,,,,,
,,,,,,,,
"CAMERA_MIN_ZOOM_NATION",50,,,,,,,
"CAMERA_MAX_ZOOM_NATION",2300,,,,,,,
"CAMERA_MIN_ZOOM_VILLAGE",50,,,,,,,
"CAMERA_MAX_ZOOM_VILLAGE",180,,,,,,,
"CAMERA_DEFAULT_ZOOM_NATION",1300,,,,,,,
"CAMERA_DEFAULT_ZOOM_VILLAGE",15,,,,,,,
"CAMERA_DEFAULT_ZOOM_NATION_BUILDING",300,,,,,,,
"CAMERA_ZOOM_FOCUS_OBJECT_VILLAGE",10,,,,,,,
"CAMERA_ZOOM_FOCUS_OBJECT_VALLEY",150,,,,,,,
"CAMERA_FAR_ZOOM_TILT",5,,,,,,,
,,,,,,,,
"CAMERA_LIMIT_LEFT_VILLAGE",10,,,,,,,
"CAMERA_LIMIT_RIGHT_VILLAGE",65,,,,,,,
"CAMERA_LIMIT_TOP_VILLAGE",10,,,,,,,
"CAMERA_LIMIT_BOTTOM_VILLAGE",65,,,,,,,
"CLOSEUP_CAMERA_STICK_X",200,,,,,,,
"CLOSEUP_CAMERA_STICK_Y",0,,,,,,,
"CLOSEUP_CAMERA_STICK_Z",200,,,,,,,
,,,,,,,,
"TERRAIN_BOUNDS_MIN_X",-50,,,,,,,
"TERRAIN_BOUNDS_MIN_Y",-50,,,,,,,
"TERRAIN_BOUNDS_MAX_X",47,,,,,,,
"TERRAIN_BOUNDS_MAX_Y",50,,,,,,,
"FOREST_BOUNDS_MIN_X",-450,,,,,,,
"FOREST_BOUNDS_MIN_Y",-350,,,,,,,
"FOREST_BOUNDS_MAX_X",400,,,,,,,
"FOREST_BOUNDS_MAX_Y",450,,,,,,,
"TERRAIN_UV_SCALE",175,,,,,,,
"TERRAIN_HEIGHT",0,,,,,,,
"FOREST_BORDER_DISTANCE",0,,,,,,,
"FOREST_MEDIUM_DISTANCE",5,,,,,,,
"FOREST_DENSE_DISTANCE",10,,,,,,,
"WRITE_TERRAIN_OBJ",,"FALSE",,,,,,
,,,,,,,,
"ENABLE_DYNAMIC_FOREST",,"FALSE",,,,,,
"ENABLE_TERRAIN_RENDERER",,"FALSE",,,,,,
"ENABLE_BIRD_RENDERER",,"TRUE",,,,,,
"ENABLE_VILLAGE_RENDER",,"TRUE",,,,,,
"ENABLE_GAMEOBJECT_RENDER",,"TRUE",,,,,,
"ENABLE_VILLAGE_NAMEPLATE",,"TRUE",,,,,,
,,,,,,,,
"ENABLE_NATION_CLOUDS",,"FALSE",,,,,,
"ENABLE_ADVICE_FEATURE",,"TRUE",,,,,,
"BANNER_COLOR_VARIATIONS",,,,,,,,"0xffffff"
,,,,,,,,"0xd957ac"
,,,,,,,,"0xc89dd8"
,,,,,,,,"0x4a7cca"
,,,,,,,,"0x2b8e9c"
,,,,,,,,"0x0cd1e9"
,,,,,,,,"0x96e4d2"
,,,,,,,,"0xb6cd66"
,,,,,,,,"0xfdd466"
,,,,,,,,"0xf2b921"
,,,,,,,,"0xd88d4b"
,,,,,,,,"0xcd453e"
"VILLAGE_PLACEHOLDER_SCW",,,"sc3d/bldn_village_empty_unlock_geo.glb",,,,,
"VILLAGE_PLACEHOLDER_LOCKED_SCW",,,"sc3d/bldn_village_empty_lock_geo.glb",,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"VILLAGE_PLACEMENT_NODES",,,,,,"sc3d/village_placements.glb#village_place_1",,
,,,,,,"sc3d/village_placements.glb#village_place_2",,
,,,,,,"sc3d/village_placements.glb#village_place_3",,
,,,,,,"sc3d/village_placements.glb#village_place_4",,
,,,,,,"sc3d/village_placements.glb#village_place_5",,
,,,,,,"sc3d/village_placements.glb#village_place_6",,
,,,,,,"sc3d/village_placements.glb#village_place_7",,
,,,,,,"sc3d/village_placements.glb#village_place_8",,
,,,,,,"sc3d/village_placements.glb#village_place_9",,
,,,,,,"sc3d/village_placements.glb#village_place_10",,
,,,,,,,,
"VALLEY_BUILDING_PLACEMENT_NODES",,,,,,,,
"ENABLE_FTUE_CLOUDS",,"TRUE",,,,,,
"SHOP_BUTTON_MIN_XP_LEVEL",4,,,,,,,
"SHOP_BUTTON_MIN_LIBRARY_LEVEL",3,,,,,,,
,,,,,,,,
"ENABLE_SYSTEM_NOTIFICATION_SETTING_DETECTION",,"TRUE",,,,,,
,,,,,,,,
"APP_TRACKING_REQUEST_ENABLED",,"TRUE",,,,,,
"MIN_APP_TRACKING_REQUEST_LEVEL",2,,,,,,,
"MAX_APP_TRACKING_REQUEST_LEVEL",5,,,,,,,
,,,,,,,,
"SELF_HELP_ENABLED",,"TRUE",,,,,,
,,,,,,,,
"DUMMY_NATION_VILLAGE_SLOT",7,,,,,,,
,,,,,,,,
"VILLAGE_LOD_OBSTACLE_SCALE",450,,,,,,,
"VILLAGE_LOD_OBSTACLE_SPARSENESS",66,,,,,,,
