"Name","TID","InfoTID","Disabled","ExistsApple","ExistsAndroid","Diamonds","USD","IconSWF","IconExportName","ShopItemExportName","OfferItemExportName","Order","RED","RMB","KunlunOnly","LenovoID","TencentID","isOfferPackage","OfferedByCalendar"
"com.supercell.everdale.gempack5_dev","TID_SHOP_GEM_PACK_5_TITLE","TID_SHOP_GEM_PACK_5_INFO","TRUE","TRUE","TRUE",2600,1999,"sc/ui.sc","icon_resource_gem","shop_item_slot_gem_pack_05","special_offer_item_gem_5",6,,30000,,,,,
"com.supercell.everdale.gempack6_dev","TID_SHOP_GEM_PACK_6_TITLE","TID_SHOP_GEM_PACK_6_INFO","TRUE","TRUE","TRUE",7000,4999,"sc/ui.sc","icon_resource_gem","shop_item_slot_gem_pack_06","special_offer_item_gem_1",7,,75000,,,,,
"com.supercell.everdale.starter_pack_00","TID_STARTER_PACK_TITLE","TID_STARTER_PACK_INFO","TRUE","TRUE","TRUE",0,499,"sc/ui.sc","icon_resource_gem",,,7,,7500,,,,"TRUE",
"com.supercell.everdale.starter_pack_01","TID_STARTER_PACK_TITLE","TID_STARTER_PACK_INFO","TRUE","TRUE","TRUE",0,499,"sc/ui.sc","icon_resource_gem",,,7,,7500,,,,"TRUE",
"com.supercell.everdale.starter_pack_02","TID_STARTER_PACK_TITLE","TID_STARTER_PACK_INFO","FALSE","TRUE","TRUE",0,199,"sc/ui.sc","icon_resource_gem",,,10,,3000,,,,"TRUE",
"com.supercell.everdale.levelup06_pack","TID_SHOP_OFFER_LEVELUP06_TITLE","TID_SHOP_OFFER_LEVELUP06_INFO","FALSE","TRUE","TRUE",0,499,"sc/ui.sc","icon_resource_gem",,,11,,7500,,,,"TRUE",
"com.supercell.everdale.levelup07_pack","TID_SHOP_OFFER_LEVELUP07_TITLE","TID_SHOP_OFFER_LEVELUP07_INFO","FALSE","TRUE","TRUE",0,499,"sc/ui.sc","icon_resource_gem",,,12,,7500,,,,"TRUE",
"com.supercell.everdale.levelup08_pack","TID_SHOP_OFFER_LEVELUP08_TITLE","TID_SHOP_OFFER_LEVELUP08_INFO","FALSE","TRUE","TRUE",0,999,"sc/ui.sc","icon_resource_gem",,,13,,15000,,,,"TRUE",
"com.supercell.everdale.levelup09_pack","TID_SHOP_OFFER_LEVELUP09_TITLE","TID_SHOP_OFFER_LEVELUP09_INFO","FALSE","TRUE","TRUE",0,999,"sc/ui.sc","icon_resource_gem",,,14,,15000,,,,"TRUE",
"com.supercell.everdale.levelup10_pack","TID_SHOP_OFFER_LEVELUP10_TITLE","TID_SHOP_OFFER_LEVELUP10_INFO","FALSE","TRUE","TRUE",0,999,"sc/ui.sc","icon_resource_gem",,,15,,15000,,,,"TRUE",
