"Name","FileNames","MinVolume","MaxVolume","MinPitch","MaxPitch","Priority","MaximumByType","MaxRepeatMs","Loop","PlayVariationsInSequence","PlayVariationsInSequenceManualReset","StartDelayMinMs","StartDelayMaxMs","PlayOnlyWhenInView","MaxVolumeScaleLimit","NoSoundScaleLimit","PadEmpyToEndMs","FalloffStart","FalloffEnd"
"Valley_Tap_Preserves","sfx/nation_valley_tap_pottery_preserves_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Valley_Tap_Tailor","sfx/nation_valley_tap_tailor_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Valley_Tap_Baker","sfx/nation_valley_tap_baker_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Valley_Tap_Docks","sfx/nation_valley_tap_docks_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Valley_Tap_Builder","sfx/nation_valley_tap_builder_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Valley_Tap_Researcher","sfx/nation_valley_tap_researcher_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Valley_Tap_Stone_Mason","sfx/nation_valley_tap_stone_mason_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Valley_Tap_Clay_Master","sfx/nation_valley_tap_clay_master_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Valley_Tap_Farm","sfx/nation_valley_tap_farm_guild_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Valley_Tap_Wodcutter","sfx/nation_valley_tap_woodcutter_guild_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Valley_Tap_Houseofpotions","sfx/nation_valley_tap_house_of_potions_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Boost_On","sfx/nation_boost_on_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Boost_OFF","sfx/nation_boost_off_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Load_Nectar_Time_Bar","sfx/load_nectar_time_bar_02.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Shop_Button","sfx/shop_button_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Xp_Flying_To_Ui","sfx/xp_flying_to_ui_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Collect_Things","sfx/collect_things_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Village_Amb_Loop_01","sfx/nation_village_amb_01.ogg",60,60,100,100,2,5,300,"TRUE",,,,,,,,,,
"High_Up_Amb_Loop_01","sfx/nation_high_up_amb_01.ogg",40,40,100,100,2,5,300,"TRUE",,,,,,,,,,
"Tap_Evergrove","sfx/tap_evergrove_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Tap_Raspberries","sfx/tap_raspberries_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Tap_Clay_Deposit","sfx/tap_clay_deposit_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Tap_Tree","sfx/tap_tree_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Tap_Stone","sfx/tap_stone_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Tap_Village_Kitchen","sfx/tap_village_kitchen_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Tap_Mushroom","sfx/tap_mushroom_02.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Tap_Treasury","sfx/tap_treasury_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Female_Villager_Selected","sfx/female_selected_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Male_Villager_Selected","sfx/male_selected_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Villager_Blocked","sfx/villager_blocked.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Tap_Boar","sfx/tap_boar_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Tap_Doe","sfx/tap_doe_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"Tap_Chicken","sfx/tap_chicken_01.wav",25,25,100,100,2,5,300,,,,,,,,,,,
"ResourceFlyStart","sfx/load_nectar_time_bar_02.wav",25,25,90,110,2,5,30,,,,,,,,,,,
"ResourceFlyEnd","sfx/collect_things_01.wav",25,25,90,110,2,5,30,,,,,,,,,,,
