"TID","EN"
"TID_DECO_FLOWER_TULIPS","Tulips"
"TID_DECO_MOONGATE","Moongate"
"TID_DECO_FIREPIT","Fire Pit"
"TID_DECO_GARDEN_POND","Garden Pond"
,
"TID_DECO_CAROLINA_STATUE_INFO","This inspiring statue celebrates hard-working villagers!"
"TID_DECO_FLOWER_BLUEBELLS_INFO","Decorative, light blue flowers for your village. Pretty!"
"TID_DECO_DOG_HOUSE_INFO","Dog included!"
"TID_DECO_FLOWER_SUNFLOWERS_INFO","Decorative sunflowers for your village. "
"TID_DECO_FLOWER_TULIPS_INFO","Decorative tulips for your village. Cheerful!"
,
"TID_BUILDING_WAREHOUSE","Warehouse"
"TID_BUILDING_FOUNTAIN","Nectar Fountain"
"TID_BUILDING_FOUNTAIN_UNCONSTRUCTED","Fountain Ruins"
,
"TID_BUILDING_VILLAGE_KITCHEN_INFO","Where villagers bring fresh-picked pumpkins to make soup. You can also make soup from other food items, like berries and mushrooms. "
"TID_BUILDING_HOUSE_INFO","Every villager needs a home! Unlock more houses to invite additional villagers. Upgrade houses to unlock higher villager skill levels at the Valley Guilds."
"TID_BUILDING_FIELD_PUMPKIN_INFO","Gather pumpkins to make soup at the Village Kitchen. Villagers can always harvest pumpkins, even when hungry.  "
"TID_BUILDING_TREASURY_INFO","Stores coins. So shiny!"
"TID_BUILDING_WAREHOUSE_INFO","Storage space for potion ingredients, raw materials and crafted items.  "
"TID_MARKETPLACE_VILLAGE_STOCK",
"TID_BUILDING_LIBRARY_INFO","Upgrade your village with Research Projects at the Study! Level up your village and Study to unlock helpful innovations! "
"TID_BUILDING_WOOD_STORAGE_INFO","Stores wood. No termites allowed. "
"TID_BUILDING_STONE_STORAGE_INFO","Stores stone. One hard place. "
"TID_BUILDING_CLAY_STORAGE_INFO","Stores clay. It's valuable mud!"
"TID_BUILDING_MANAGED_FOREST_INFO","The Evergrove produces infinite wood."
"TID_BUILDING_MANAGED_FOREST_INFO_UNCONSTRUCTED","Unlock the Evergrove in the Study!\n Imbued with Valley magic, the Evergrove never runs out of wood."
"TID_BUILDING_STONE_MINE_INFO","The Stone Mine produces infinite stone. "
"TID_BUILDING_STONE_MINE_INFO_UNCONSTRUCTED","Unlock the Stone Mine in the Study! \nYou'll never run out of stone at the Stone Mine!"
"TID_BUILDING_CLAY_PIT_INFO","The Clay Pit produces infinite clay."
"TID_BUILDING_CLAY_PIT_INFO_UNCONSTRUCTED","Unlock the Clay Pit in the Study.\nYou'll never run out of clay at the Clay Pit!"
"TID_BUILDING_APPLETREEGROVE_INFO","Gather crisp, juicy apples at the Apple Grove!"
"TID_BUILDING_TRADING_POST_INFO","The <BUILDING> lets you to send resources to Valley construction projects."
"TID_BUILDING_SAWMILL_INFO","Assign a villager to produce planks from wood. Also stores planks. "
"TID_BUILDING_BRICK_YARD_INFO","Assign a villager to produce bricks from clay. Also stores bricks. "
,
"TID_WAREHOUSE_TITLE","Warehouse"
"TID_GRANARY_TITLE","Pantry"
,
"TID_BUILDING_FIGURINEWORKSHOP_INFO","Produces wooden figurines.\Stored at the Warehouse."
"TID_BUILDING_POTTERYWORKSHOP_INFO","Produces clay pottery.\nStored at the Warehouse."
"TID_BUILDING_STATUEWORKSHOP_INFO","Produces stone statues.\nStored at the Warehouse."
"TID_BUILDING_JUICEPRESS_INFO","Produces refreshing apple juice."
"TID_BUILDING_WINDMILL_INFO","Produces flour from wheat. \nFlour is stored in the Village Kitchen."
"TID_BUILDING_FOUNTAIN_INFO","The Nectar Fountain produces Nectar, which you can use to Boost your villagers' working speed! Tap to gather Nectar drops when they appear. "
"TID_BUILDING_FOUNTAIN_INFO_UNCONSTRUCTED","Locals say the Nectar Fountain produces a powerful drink... \nResearch Nectar Boost in the Study to find out what it does! "
"TID_BUILDING_CHICKEN_COOP_INFO","Produces eggs.\nTap to gather eggs when they appear. "
"TID_BUILDING_BEEHIVE_INFO","Produces sweet, sweet honey.\nTap to gather honey when it appears. "
,
"TID_UPGRADE_COST","Upgrade cost:"
"TID_ELDER_ACTION","Start Construction"
"TID_AMOUNT_FORMAT","x<AMOUNT>"
,
"TID_TIME_DAYS","d"
"TID_TIME_HOURS","h"
"TID_TIME_MINS","m"
"TID_TIME_SECS","s"
"TID_PROFESSION_LEVEL_1","Apprentice <prof>"
"TID_PROFESSION_LEVEL_2","Journeyman <prof>"
"TID_PROFESSION_LEVEL_3","Expert <prof>"
"TID_PROFESSION_LEVEL_4","Master <prof>"
"TID_PROFESSION_LEVEL_5","Grand Master <prof>"
"TID_LIBRARY_NEEDED","Study level <LEVEL> needed."
"TID_FINISH_CURRENT_RESEARCH_FIRST","The Study is already researching something."
"TID_TECH_RESEARCH_COMPLETED","<TECH_NAME> level <LEVEL> research completed!"
"TID_RESEARCH_COMPLETE_TITLE","RESEARCH COMPLETED"
,
"TID_JOB_ASSIGNED","Going to work"
"TID_JOB_WALK_TO_INPUT","Fetching <input>"
"TID_JOB_QUEUED_FOR_INPUT","Waiting for <input>"
"TID_JOB_WALK_FROM_INPUT","Returning with <input>"
"TID_JOB_PRODUCING","Producing <output>"
"TID_JOB_WALK_TO_HARVEST","Finding <output> to harvest"
"TID_JOB_HARVESTING","Harvesting <output>"
"TID_JOB_WALK_FROM_HARVEST","Returning with <output>"
"TID_JOB_WAIT_FOR_PREREQUISITES","TODO: Prerequisites"
"TID_JOB_DELIVER_TO_STORAGE","Delivering <output> to storage"
"TID_JOB_QUEUED_FOR_OUTPUT","Waiting for storage space"
"TID_JOB_LOITERING","Loitering"
"TID_JOB_SPAWNING","Growing <output>"
"TID_JOB_WAIT_FOR_STORAGE","<storage> full"
"TID_JOB_WORKER_HUNGRY","Too hungry to work"
"TID_JOB_PLANTING","Planting <output>"
"TID_JOB_WATERING","Watering <output>"
"TID_JOB_RESEARHING","Researching <output>"
"TID_JOB_ADVENTURE_PREP","Preparing for adventure"
"TID_JOB_ADVENTURING","Adventuring"
"TID_JOB_CONSTRUCTING","Constructing"
"TID_JOB_NOTHING_TO_HARVEST","Nothing to harvest"
"TID_JOB_WAIT_FOR_INPUT","Waiting for <input>"
"TID_JOB_WAIT_FOR_INPUT_2","Waiting for <input> or <input2>"
"TID_JOB_NOWHERE_FOR_INPUT","Produce more <input> to continue"
"TID_JOB_NOWHERE_FOR_INPUT_2","Produce more <input> or <input2> to continue"
"TID_JOB_STUDYING","Studying"
"TID_STATUS_IDLE","Idle"
"TID_STATUS_JOINING","Waiting to be hired"
"TID_PEASANT","Villager"
"TID_WORKSITE_NO_WORKER","No villager assigned"
"TID_JOB_WAIT_FOR_STORAGE_LATER","<storage> full in <time>"
"TID_JOB_WAIT_FOR_INPUT_LATER","Enough <input> for <time>"
"TID_JOB_WAIT_FOR_INPUT_LATER_2","Enough <input> and <input2> for <time>"
"TID_JOB_NOTHING_TO_HARVEST_LATER","All harvested after <time>"
"TID_JOB_WORKER_HUNGRY_LATER","Enough Soup for <time>"
"TID_JOB_NOWHERE_FOR_INPUT_LATER","Enough <input> for <time>"
"TID_JOB_NOWHERE_FOR_INPUT_LATER_2","Enough <input> and <input2> for <time>"
"TID_WORKSITE_PREDICTION_EFF","Ready in <time>. Efficiency: <eff>%"
"TID_WORKSITE_PREDICTION","Ready in <time>"
"TID_WORKSITE_READY_NOTIFICATION","Job done at <name>."
"TID_WORKSITE_PROBLEM_NOTIFICATION","Job blocked at <name>: <reason>"
"TID_NOT_PREDICTIING_FAR_ENOUGH","Not finishing in the next <time>. Efficiency: <eff>%"
"TID_WORKSITE_NOTIFICATION_SET","Reminder set for <name>"
"TID_WORKSITE_NOTIFICATION_REMOVED","Reminder removed"
,
"TID_OBSTACLE_TREE_SMALL","Small Tree"
"TID_OBSTACLE_TREE_MEDIUM","Tree"
"TID_OBSTACLE_TREE_BIG","Big Tree"
"TID_OBSTACLE_BERRY_BUSH","Raspberries"
"TID_OBSTACLE_MUSHROOMS","Mushrooms"
"TID_OBSTACLE_STONE","Stone"
"TID_OBSTACLE_BIG_STONE","Large Stone"
"TID_OBSTACLE_CLAY","Clay Deposit"
"TID_OBSTACLE_BIG_CLAY","Large Clay Deposit"
"TID_OBSTACLE_TREE_CLUMP_SMALL","Stand of Trees"
"TID_OBSTACLE_TREE_CLUMP_MEDIUM","Cluster of Trees"
"TID_OBSTACLE_TREE_CLUMP_BIG","Thicket of Trees"
"TID_OBSTACLE_PUMPKINS","Pumpkins"
"TID_OBSTACLE_CHOOSE_WORKER_TITLE","Choose a villager"
"TID_OBSTACLE_CHOOSE_WORKER_TEXT",
"TID_CHOOSE_WORKER_ASSIGN_BUTTON","Assign Villager"
,
"TID_INFO_DEEP_FOREST","Chopping Wood in a Deep Forest is slower, but it never runs out of trees."
,
"TID_FILL_BOOST_BUTTON","Fill <AMOUNT> sec"
"TID_BUTTON_ASSIGN_WORK","Assign Work"
"TID_BUTTON_ASSIGN_WORKER","Assign Villager"
"TID_BUTTON_HIRE_WORKER","Hire Villager"
"TID_BUTTON_DISMISS_WORKER","Dismiss Villager"
"TID_BUTTON_CANCEL_WORK","Cancel"
"TID_BUTTON_OKAY","Okay"
"TID_BUTTON_YES","Yes"
"TID_BUTTON_NO","No"
"TID_BUTTON_X","X"
"TID_BUTTON_CANCEL","Cancel"
"TID_BUTTON_INFO","Info"
"TID_BUTTON_BOOST","Use Nectar"
"TID_BUTTON_FREE","FREE"
"TID_BUTTON_UPGRADE","Upgrade"
"TID_BUTTON_CONSTRUCT","Construct"
"TID_RESEARCH_SCROLL_INFO","Use scrolls to speed up research"
"TID_BUTTON_RESEARCH","Research Tree"
"TID_BUTTON_QUEST","Quest"
"TID_BUTTON_ENTER_SHOP","Enter Shop"
"TID_BUTTON_OFFERS","Offers"
"TID_BUTTON_WORKERS","VILLAGERS"
"TID_BUTTON_DONE","Done"
"TID_BUTTON_NO_WORKER","No Villager"
"TID_BUTTON_ADD_WORKER","Add Villager"
"TID_BUTTON_SELECT_WORKER","Select Villager"
"TID_BUTTON_HOME","MY VILLAGE"
"TID_BUTTON_DONATE","Donate"
"TID_BUTTON_DONATE_N","Donate <n>"
"TID_BUTTON_COLLECT","COLLECT"
"TID_BUTTON_TOOL_INVENTORY","ITEMS"
"TID_DONKEY_INFO","<FREE>/<TOTAL>"
,
"TID_OFFERS_MENU_TITLE","OFFERS"
"TID_HARVEST_RESOURCE","Harvest <resource>"
,
"TID_OFFER_BOUGHT","Offer bought!"
"TID_FREE_OFFER_BOUGHT","Offer claimed!"
"TID_GEM_BUY_CONFIRMATION","<amount> gems received!"
"TID_BUNDLE_GEMS_CONFIRMATION","<ce53cff><amount> gems received!</c>"
"TID_OFFER_NO_LONGER_AVAILABLE","Sorry, offer no longer available."
,
"TID_POPUP_FINISH_CURRENT_TASK_FIRST_TITLE","VILLAGER BUSY"
"TID_POPUP_FINISH_CURRENT_TASK_FIRST","This villager is busy! Do you want them to switch jobs?"
"TID_POPUP_FINISH_CURRENT_TASK_FIRST_NO","No"
"TID_POPUP_FINISH_CURRENT_TASK_FIRST_YES","Yes"
"TID_POPUP_FINISH_CURRENT_TASK_FIRST_UNDERSTOOD","Ok, got it!"
"TID_POPUP_CANCEL_UPGRADE_TITLE","CANCEL UPGRADE"
"TID_POPUP_CANCEL_UPGRADE","Are you sure you want to cancel the building upgrade?"
,
"TID_NO_FREE_WORKERS","No free villagers!"
"TID_NO_FREE_HIRE_SPACE","Not enough space for another villager! Build more homes."
"TID_HIRE_NEEDS_MORE","Requirements not met! Need more <name>"
"TID_LUMBERJACK_BOOST","<value> woodcutting speed"
"TID_FARMER_BOOST","<value> growing speed"
"TID_STONEMASON_BOOST","<value> stone cutting speed"
"TID_BUILDER_BOOST","<value> building speed"
"TID_FORAGER_BOOST","<value> foraging speed"
"TID_RESEARCHER_BOOST","<value> research speed"
,
"TID_POPUP_DISMISS_WORKER_TITLE","DISMISS VILLAGER?"
"TID_POPUP_DISMISS_WORKER","Are you sure you want to send this villager away forever?"
"TID_POPUP_DISMISS_WORKER_NO","No"
"TID_POPUP_DISMISS_WORKER_YES","Yes"
,
"TID_WORKER_LIFETIME","<name> has lived here for <time>."
"TID_WORKER_SPECIALTY","<spc> level <level>, +<boost>%"
"TID_SPECIALITY_LEVEL","<spc> level <level>"
"TID_SPECIALITY_BOOST_PERCENTAGE","+<boost>%"
"TID_WORKER_WANTS_TO_JOIN","<name> would love to join your village!"
"TID_WORKER_REQUIRES","Requirements:"
"TID_BUILDING_VILLAGE_TRADER_INFO","Complete tasks to earn coins or potion ingredients. Clear all of them to earn a bonus chest!"
"TID_WORKER_REQUIRES_BUILDING_INFO","Build a <name>"
"TID_WORKER_REQUIRES_HOUSING_SPACE","Build a Home"
"TID_CHOOSE_WORKER_CONTEXT","Tap a villager button to assign"
"TID_CHOOSE_WORKER","Who should live here?"
"TID_CHOOSE_WORKER_CONFIRM","Choose <NAME>?"
"TID_CHOOSE_WORKER_YES","Yes"
"TID_CHOOSE_WORKER_NO","No"
"TID_WORKER_LEVEL","Home level <LEVEL>"
"TID_WORKER_LEVEL_WARNING","This tool requires a higher villager level"
"TID_WORKER_CATEGORY_EMPTY",
"TID_BUTTON_REMOVE_WORKER","Remove"
"TID_BUTTON_STOP_PRODUCTION","Return Home"
"TID_VILLAGER_INFO_TITLE","Villager Skills"
"TID_VILLAGER_INFO_DESCRIPTION","While working, villagers gain experience for skills. When they have enough experience, they can train their skill at the Valley Guilds. Upgrade their homes to unlock higher skill levels!"
"TID_VILLAGER_CHANGED_TO_OUTFIT","Changed to <OUTFIT> outfit"
"TID_VILLAGER_CHANGED_TO_DEFAULT_OUTFIT","Changed to default outfit"
"TID_VILLAGER_PROFESSIONS_LOCKED","Researching Education tech unlocks villager skills."
"TID_VILLAGER_INFO_SPECIALITY_LOCKED","No experience"
,
"TID_POPUP_ANDROID_EXIT_TITLE","CONFIRM EXIT"
"TID_POPUP_ANDROID_EXIT","Do you want to quit the game?"
,
"TID_RESOURCE_DIAMONDS","Gems"
"TID_RESOURCE_FOOD","Soup"
"TID_RESOURCE_TREE","Tree"
"TID_RESOURCE_WOOD","Wood"
"TID_RESOURCE_PUMPKIN","Pumpkin"
"TID_RESOURCE_STONE","Stone"
"TID_RESOURCE_SCIENCE","Science"
"TID_RESOURCE_BERRY","Raspberry"
"TID_RESOURCE_MUSHROOM","Mushroom"
"TID_RESOURCE_PLANK","Plank"
"TID_RESOURCE_CRATES","Moving Crates"
"TID_RESOURCE_EGG","Egg"
"TID_RESOURCE_CLAY","Clay"
"TID_RESOURCE_BRICK","Brick"
"TID_RESOURCE_MANDRAKE","Mandrake"
"TID_RESOURCE_ACORN","Acorn"
"TID_RESOURCE_MOSS","Moss"
"TID_RESOURCE_FOUR_LEAF_CLOVER","Four-Leaf Clover"
"TID_RESOURCE_RAVEN_FEATHER","Raven's Feather"
"TID_RESOURCE_SEA_SHELL","Sea Shell"
"TID_RESOURCE_COINS","Coins"
"TID_RESOURCE_WOOL","Wool"
"TID_RESOURCE_BREAD","Bread"
"TID_RESOURCE_WHEAT","Wheat"
"TID_RESOURCE_BERRYPIE","Berry Pie"
"TID_RESOURCE_BERRYCAKE","Berry Cake"
"TID_RESOURCE_FOUNTAIN_BOOST","Nectar"
"TID_RESOURCE_FISH","Fish"
"TID_RESOURCE_COTTON","Cotton"
"TID_RESOURCE_INDIGO","Indigo"
"TID_RESOURCE_SUGAR","Sugar"
"TID_RESOURCE_SALT","Salt"
"TID_RESOURCE_SUGARAPPLE","Baked Apple"
"TID_RESOURCE_HONEYCOOKIE","Honey Cookie"
"TID_RESOURCE_FISHPIE","Fish Pie"
"TID_RESOURCE_APPLEPIE","Apple Pie"
"TID_RESOURCE_CAKEROYALE","Dream Cake"
"TID_RESOURCE_SALTEDFISH","Salted Fish"
"TID_RESOURCE_SALTPOT","Salt Pot"
"TID_RESOURCE_HONEYPOT","Honey Pot"
"TID_RESOURCE_APPLEJAM","Apple Jam"
"TID_RESOURCE_SWEETHERRING","Sweet Herring"
"TID_RESOURCE_DYERED","Red Dye"
"TID_RESOURCE_DYEYELLOW","Yellow Dye"
"TID_RESOURCE_DYEBLUE","Blue Dye"
"TID_RESOURCE_DYEGREEN","Green Dye"
"TID_RESOURCE_DYEORANGE","Orange Dye"
"TID_RESOURCE_DYEPURPLE","Purple Dye"
"TID_RESOURCE_DYERAINBOW","Rainbow Dye"
"TID_RESOURCE_PLUSHIE","Plush Toy"
"TID_RESOURCE_RUNEGAME","Rune Game"
"TID_RESOURCE_WOODENDUCK","Wooden Duck"
"TID_RESOURCE_MARBLES","Marbles"
"TID_RESOURCE_WOODENDOLL","Wooden Doll"
"TID_RESOURCE_SOCKS","Socks"
"TID_RESOURCE_TROUSERS","Trousers"
"TID_RESOURCE_HAT","Hat"
"TID_RESOURCE_TUNIC","Tunic"
"TID_RESOURCE_SHIRT","Shirt"
"TID_RESOURCE_DRESS","Dress"
"TID_RESOURCE_JACKET","Jacket"
"TID_RESOURCE_RAINBOWSUIT","Rainbow Suit"
"TID_RESOURCE_FIGURINE","Figurine"
"TID_RESOURCE_POTTERY","Pottery"
"TID_RESOURCE_STATUETTE","Statuette"
"TID_RESOURCE_APPLEJUICE","Apple Juice"
"TID_RESOURCE_FLOUR","Flour"
"TID_RESOURCE_HONEY","Honey"
"TID_RESOURCE_APPLE","Apple"
,
"TID_RESOURCE_DIAMONDS_INFO",
"TID_RESOURCE_FOOD_INFO","Soup made from Pumpkins or other food items."
"TID_RESOURCE_TREE_INFO",
"TID_RESOURCE_WOOD_INFO","Wood from trees and Evergroves. Use it for building and trading."
"TID_RESOURCE_PUMPKIN_INFO",
"TID_RESOURCE_STONE_INFO","Stone from the Stone Mine. Use it for building and trading."
"TID_RESOURCE_SCIENCE_INFO",
"TID_RESOURCE_BERRY_INFO","These sweet raspberries can be used for Bakery products or to make soup."
"TID_RESOURCE_MUSHROOM_INFO","These savory mushrooms can be used for trading or to make soup."
"TID_RESOURCE_PLANK_INFO","Planks from the Sawmill. Use them for building or trading."
"TID_RESOURCE_CRATES_INFO",
"TID_RESOURCE_EGG_INFO","Eggs from the Chicken Coop. Happy chickens make the best eggs."
"TID_RESOURCE_CLAY_INFO","Clay from the Clay Pit. Use it for building or making bricks and pottery."
"TID_RESOURCE_BRICK_INFO","Bricks from the Brickyard. Use them for building or trading."
"TID_RESOURCE_MANDRAKE_INFO","Mandrake is a potion ingredient that helps stabilize other ingredients."
"TID_RESOURCE_ACORN_INFO","Acorn is a potion ingredient associated with power and growth."
"TID_RESOURCE_MOSS_INFO","Moss is a potion ingredient associated with wisdom and intelligence."
"TID_RESOURCE_FOUR_LEAF_CLOVER_INFO","Four-Leaf Clover is a potion ingredient associated with luck."
"TID_RESOURCE_RAVEN_FEATHER_INFO","The Raven Feather is a potion ingredient associated with swiftness and dexterity."
"TID_RESOURCE_SEA_SHELL_INFO","Sea Shells are potion ingredients associated with endurance."
"TID_RESOURCE_COINS_INFO","To earn more Coins, complete tasks from Otto or Trade Ships in the Valley Harbor."
"TID_RESOURCE_WOOL_INFO","Wool from the Sheep Pasture. Use it to make clothing at the Tailor. "
"TID_RESOURCE_BREAD_INFO","Bread from the Valley Bakery. Always popular!"
"TID_RESOURCE_WHEAT_INFO","Wheat from the Wheat Field. Use it to make flour. "
"TID_RESOURCE_BERRYPIE_INFO","Berry Pies from the Bakery. Scrumptious!"
"TID_RESOURCE_BERRYCAKE_INFO","Berry Cakes from the Bakery. Delish!"
"TID_RESOURCE_FOUNTAIN_BOOST_INFO","Nectar gives your villagers a boost while working in the Village! A magic liquid, nectar is mildly sweet."
"TID_RESOURCE_FISH_INFO","Fish from the Fishing Spot. Freshly caught."
"TID_RESOURCE_COTTON_INFO","Cotton from the Cotton Fields."
"TID_RESOURCE_INDIGO_INFO","Indigo from the Indigo Fields."
"TID_RESOURCE_SUGAR_INFO","Sugar from the Sugar Fields. Sweetness when you need it."
"TID_RESOURCE_SALT_INFO","Salt from the Salt Fields. Just a pinch, please!"
"TID_RESOURCE_SUGARAPPLE_INFO","Baked Apples from the Bakery. A well-loved treat."
"TID_RESOURCE_HONEYCOOKIE_INFO","Honey Cookies from the Bakery. Resistance is futile."
"TID_RESOURCE_FISHPIE_INFO","Fish Pies from the Bakery. Oddly satisfying."
"TID_RESOURCE_APPLEPIE_INFO","Apple Pies from the Bakery. Perfectly spiced."
"TID_RESOURCE_CAKEROYALE_INFO","Dream Cakes from the Bakery. The ultimate cake creation. "
"TID_RESOURCE_SALTEDFISH_INFO","Salted Fish from the Preservery. Tasty and nutritious."
"TID_RESOURCE_SALTPOT_INFO","Salt Pot from the Preservery. Sometimes you just need a pot of salt."
"TID_RESOURCE_HONEYPOT_INFO","Honey Pot from the Preservery. Filled with beautiful golden honey."
"TID_RESOURCE_APPLEJAM_INFO","Apple Jam from the Preservery. Great on bread."
"TID_RESOURCE_SWEETHERRING_INFO","Sweet Herring from the Preservery. Makes a great snack."
"TID_RESOURCE_DYERED_INFO","Red Dye from the Dye Maker. This vivid red really stands out."
"TID_RESOURCE_DYEYELLOW_INFO","Yellow Dye from the Dye Maker. This bright yellow is quite sunny."
"TID_RESOURCE_DYEBLUE_INFO","Blue Dye from the Dye Maker. This beautiful blue feels calm and cool."
"TID_RESOURCE_DYEGREEN_INFO","Green Dye from the Dye Maker. This brilliant green is lush and relaxing."
"TID_RESOURCE_DYEORANGE_INFO","Orange Dye from the Dye Maker. This zesty orange adds flair to anything."
"TID_RESOURCE_DYEPURPLE_INFO","Purple Dye from the Dye Maker. This vibrant purple can't be missed."
"TID_RESOURCE_DYERAINBOW_INFO","Rainbow Dye from the Dye Maker. It's an explosion of color!"
"TID_RESOURCE_PLUSHIE_INFO","Plush Toys from the Toy Maker. Inspired by Earpuffs."
"TID_RESOURCE_RUNEGAME_INFO","Rune Game from the Toy Maker. A popular pastime."
"TID_RESOURCE_WOODENDUCK_INFO","Wooden Ducks from the Toy Maker. Quack quack, said the duck!"
"TID_RESOURCE_MARBLES_INFO","Marbles from the Toy Maker. Always fun to play with."
"TID_RESOURCE_WOODENDOLL_INFO","Wooden Dolls from the Toy Maker. Handmade and very charming."
"TID_RESOURCE_SOCKS_INFO","Socks from the Tailor. An important part of any wardrobe."
"TID_RESOURCE_TROUSERS_INFO","Trousers from the Tailor. Sturdy and well-made."
"TID_RESOURCE_HAT_INFO","Hat from the Tailor. Durable but comfy too."
"TID_RESOURCE_TUNIC_INFO","Tunics from the Tailor. Simple but refined."
"TID_RESOURCE_SHIRT_INFO","Shirts from the Tailor. Practical but tasteful."
"TID_RESOURCE_DRESS_INFO","Dresses from the Tailor. Very pretty but dignified too."
"TID_RESOURCE_JACKET_INFO","Jackets from the Tailor. Stylish and warm."
"TID_RESOURCE_RAINBOWSUIT_INFO","Rainbow Suits from the Tailor. Dazzling!"
"TID_RESOURCE_FIGURINE_INFO","Figurines from the Figurine Workshop. Elegant and tasteful."
"TID_RESOURCE_POTTERY_INFO","Pottery from the Pottery Workshop. Use it for trade and for making Preservery products."
"TID_RESOURCE_STATUETTE_INFO","Statuettes from the Statue Workshop. Intricately carved."
"TID_RESOURCE_APPLEJUICE_INFO","Apple Juice from the Juice Press. Cool and refreshing."
"TID_RESOURCE_FLOUR_INFO","Flour from the Windmill. Use it to make baked goods at the Valley Bakery."
"TID_RESOURCE_HONEY_INFO","Honey from Beehives. Thanks, bees!"
"TID_RESOURCE_APPLE_INFO","Apples from the Apple Grove. Sweet and juicy."
,
"TID_RESOURCE_DIAMONDS_TOOLTIP",
"TID_RESOURCE_FOOD_TOOLTIP","Soup made from Pumpkins or other food items"
"TID_RESOURCE_TREE_TOOLTIP",
"TID_RESOURCE_WOOD_TOOLTIP","Wood from village forests"
"TID_RESOURCE_PUMPKIN_TOOLTIP",
"TID_RESOURCE_STONE_TOOLTIP","Stone from Stone Mine"
"TID_RESOURCE_SCIENCE_TOOLTIP",
"TID_RESOURCE_BERRY_TOOLTIP","Raspberries from your village"
"TID_RESOURCE_MUSHROOM_TOOLTIP","Mushrooms from your village"
"TID_RESOURCE_PLANK_TOOLTIP","Planks from the Sawmill"
"TID_RESOURCE_CRATES_TOOLTIP",
"TID_RESOURCE_EGG_TOOLTIP","Eggs from the Chicken Coop"
"TID_RESOURCE_CLAY_TOOLTIP","Clay from the Clay Pit"
"TID_RESOURCE_BRICK_TOOLTIP","Bricks from the Brickyard"
"TID_RESOURCE_MANDRAKE_TOOLTIP","Mandrake is a potion ingredient"
"TID_RESOURCE_ACORN_TOOLTIP","Acorns are a potion ingredient"
"TID_RESOURCE_MOSS_TOOLTIP","Moss is a potion ingredient"
"TID_RESOURCE_FOUR_LEAF_CLOVER_TOOLTIP","Four-Leaf Clovers are a potion ingredient"
"TID_RESOURCE_RAVEN_FEATHER_TOOLTIP","Raven Feathers are a potion ingredient"
"TID_RESOURCE_SEA_SHELL_TOOLTIP","Sea Shells are a potion ingredient"
"TID_RESOURCE_COINS_TOOLTIP","Use coins for building and more"
"TID_RESOURCE_WOOL_TOOLTIP","Wool from the Sheep Pasture"
"TID_RESOURCE_BREAD_TOOLTIP","Bread from the Valley Bakery"
"TID_RESOURCE_WHEAT_TOOLTIP","Wheat from the Wheat Field"
"TID_RESOURCE_BERRYPIE_TOOLTIP","Berry Pies from the Valley Bakery"
"TID_RESOURCE_BERRYCAKE_TOOLTIP","Berry Cakes from the Valley Bakery"
