"Name","TID","TID_DESCRIPTION","Value","Category","Hours","Minutes","Seconds","Type","Building","Tool","ToolProb","IconSWF","IconExportName","Recipe","RequiredBuilding","RequiredBuildingCount","RevealedByDefault"
"SawmillLevel3","TID_TECH_SAWMILL_LEVEL_2_TO_5","TID_TECH_SAWMILL_LEVEL_UPGRADE_DESC",3,"Buildings",,,384000,"BuildingLevel","Sawmill",,,,,,,,
"SawmillLevel4","TID_TECH_SAWMILL_LEVEL_2_TO_5","TID_TECH_SAWMILL_LEVEL_UPGRADE_DESC",4,"Buildings",,,600000,"BuildingLevel","Sawmill",,,,,,,,
"SawmillLevel5","TID_TECH_SAWMILL_LEVEL_2_TO_5","TID_TECH_SAWMILL_LEVEL_UPGRADE_DESC",5,"Buildings",,,600000,"BuildingLevel","Sawmill",,,,,,,,
"StoneStorageCount1","TID_TECH_STONE","TID_TECH_STONE_DESC",1,"Buildings",,,17400,"BuildingCount","StoneStorage",,,"sc/background_images.sc","tech_image_stone",,,,
"StoneStorageCount2","TID_TECH_STONE_STORAGE_COUNT_2","TID_TECH_STONE_STORAGE_COUNT_2_DESC",2,"Buildings",,,90000,"BuildingCount","StoneStorage",,,,,,,,
"StoneStorageLevel2","TID_TECH_STONE_STORAGE_LEVEL_2_TO_6","TID_TECH_STONE_STORAGE_LEVEL_UPGRADE_DESC",2,"Buildings",,,21600,"BuildingLevel","StoneStorage",,,,,,,,
"StoneStorageLevel3","TID_TECH_STONE_STORAGE_LEVEL_2_TO_6","TID_TECH_STONE_STORAGE_LEVEL_UPGRADE_DESC",3,"Buildings",,,66000,"BuildingLevel","StoneStorage",,,,,,,,
"StoneStorageLevel4","TID_TECH_STONE_STORAGE_LEVEL_2_TO_6","TID_TECH_STONE_STORAGE_LEVEL_UPGRADE_DESC",4,"Buildings",,,96000,"BuildingLevel","StoneStorage",,,,,,,,
"StoneStorageLevel5","TID_TECH_STONE_STORAGE_LEVEL_2_TO_6","TID_TECH_STONE_STORAGE_LEVEL_UPGRADE_DESC",5,"Buildings",,,402000,"BuildingLevel","StoneStorage",,,,,,,,
"StoneStorageLevel6","TID_TECH_STONE_STORAGE_LEVEL_2_TO_6","TID_TECH_STONE_STORAGE_LEVEL_UPGRADE_DESC",6,"Buildings",,,600000,"BuildingLevel","StoneStorage",,,,,,,,
"TownSquareLevel2","TID_TECH_VILLAGE_KITCHEN_LEVEL_3_TO_12","TID_TECH_VILLAGE_KITCHEN_LEVEL_UPGRADE_DESC",2,"Buildings",,,60,"BuildingLevel","Town Hall",,,,,,,,
"TownSquareLevel3","TID_TECH_VILLAGE_KITCHEN_LEVEL_3_TO_12","TID_TECH_VILLAGE_KITCHEN_LEVEL_UPGRADE_DESC",3,"Buildings",,,3000,"BuildingLevel","Town Hall",,,,,,,,
"TownSquareLevel4","TID_TECH_VILLAGE_KITCHEN_LEVEL_3_TO_12","TID_TECH_VILLAGE_KITCHEN_LEVEL_UPGRADE_DESC",4,"Buildings",,,15600,"BuildingLevel","Town Hall",,,,,,,,
"TownSquareLevel5","TID_TECH_VILLAGE_KITCHEN_LEVEL_3_TO_12","TID_TECH_VILLAGE_KITCHEN_LEVEL_UPGRADE_DESC",5,"Buildings",,,120000,"BuildingLevel","Town Hall",,,,,,,,
"TownSquareLevel6","TID_TECH_VILLAGE_KITCHEN_LEVEL_3_TO_12","TID_TECH_VILLAGE_KITCHEN_LEVEL_UPGRADE_DESC",6,"Buildings",,,144000,"BuildingLevel","Town Hall",,,,,,,,
"TownSquareLevel7","TID_TECH_VILLAGE_KITCHEN_LEVEL_3_TO_12","TID_TECH_VILLAGE_KITCHEN_LEVEL_UPGRADE_DESC",7,"Buildings",,,174000,"BuildingLevel","Town Hall",,,,,,,,
"TownSquareLevel8","TID_TECH_VILLAGE_KITCHEN_LEVEL_3_TO_12","TID_TECH_VILLAGE_KITCHEN_LEVEL_UPGRADE_DESC",8,"Buildings",,,384000,"BuildingLevel","Town Hall",,,,,,,,
"TownSquareLevel9","TID_TECH_VILLAGE_KITCHEN_LEVEL_3_TO_12","TID_TECH_VILLAGE_KITCHEN_LEVEL_UPGRADE_DESC",9,"Buildings",,,462000,"BuildingLevel","Town Hall",,,,,,,,
"TownSquareLevel10","TID_TECH_VILLAGE_KITCHEN_LEVEL_3_TO_12","TID_TECH_VILLAGE_KITCHEN_LEVEL_UPGRADE_DESC",10,"Buildings",,,534000,"BuildingLevel","Town Hall",,,,,,,,
"TownSquareLevel11","TID_TECH_VILLAGE_KITCHEN_LEVEL_3_TO_12","TID_TECH_VILLAGE_KITCHEN_LEVEL_UPGRADE_DESC",11,"Buildings",,,600000,"BuildingLevel","Town Hall",,,,,,,,
"TownSquareLevel12","TID_TECH_VILLAGE_KITCHEN_LEVEL_3_TO_12","TID_TECH_VILLAGE_KITCHEN_LEVEL_UPGRADE_DESC",12,"Buildings",,,600000,"BuildingLevel","Town Hall",,,,,,,,
"FountainCount1","TID_TECH_FOUNTAIN_COUNT_1","TID_TECH_FOUNTAIN_COUNT_1_DESC",1,"Buildings",,,240,"BuildingCount","Fountain",,,,,,,,
"WoodStorageCount2","TID_TECH_WOOD_STORAGE_COUNT_2","TID_TECH_WOOD_STORAGE_COUNT_2_DESC",2,"Buildings",,,1500,"BuildingCount","WoodStorage",,,,,,,,
"WoodStorageCount3","TID_TECH_WOOD_STORAGE_COUNT_3","TID_TECH_WOOD_STORAGE_COUNT_3_DESC",3,"Buildings",,,84000,"BuildingCount","WoodStorage",,,,,,,,
"WoodStorageLevel2","TID_TECH_WOOD_STORAGE_LEVEL_3_TO_10","TID_TECH_WOOD_STORAGE_LEVEL_3_TO_10_DESC",2,"Buildings",,,60,"BuildingLevel","WoodStorage",,,,,,,,
"WoodStorageLevel3","TID_TECH_WOOD_STORAGE_LEVEL_3_TO_10","TID_TECH_WOOD_STORAGE_LEVEL_3_TO_10_DESC",3,"Buildings",,,600,"BuildingLevel","WoodStorage",,,,,,,,
"WoodStorageLevel4","TID_TECH_WOOD_STORAGE_LEVEL_3_TO_10","TID_TECH_WOOD_STORAGE_LEVEL_3_TO_10_DESC",4,"Buildings",,,33000,"BuildingLevel","WoodStorage",,,,,,,,
"WoodStorageLevel5","TID_TECH_WOOD_STORAGE_LEVEL_3_TO_10","TID_TECH_WOOD_STORAGE_LEVEL_3_TO_10_DESC",5,"Buildings",,,45000,"BuildingLevel","WoodStorage",,,,,,,,
"WoodStorageLevel6","TID_TECH_WOOD_STORAGE_LEVEL_3_TO_10","TID_TECH_WOOD_STORAGE_LEVEL_3_TO_10_DESC",6,"Buildings",,,186000,"BuildingLevel","WoodStorage",,,,,,,,
"WoodStorageLevel7","TID_TECH_WOOD_STORAGE_LEVEL_3_TO_10","TID_TECH_WOOD_STORAGE_LEVEL_3_TO_10_DESC",7,"Buildings",,,390000,"BuildingLevel","WoodStorage",,,,,,,,
"WoodStorageLevel8","TID_TECH_WOOD_STORAGE_LEVEL_3_TO_10","TID_TECH_WOOD_STORAGE_LEVEL_3_TO_10_DESC",8,"Buildings",,,600000,"BuildingLevel","WoodStorage",,,,,,,,
"WoodStorageLevel9","TID_TECH_WOOD_STORAGE_LEVEL_3_TO_10","TID_TECH_WOOD_STORAGE_LEVEL_3_TO_10_DESC",9,"Buildings",,,600000,"BuildingLevel","WoodStorage",,,,,,,,
"WoodStorageLevel10","TID_TECH_WOOD_STORAGE_LEVEL_3_TO_10","TID_TECH_WOOD_STORAGE_LEVEL_3_TO_10_DESC",10,"Buildings",,,600000,"BuildingLevel","WoodStorage",,,,,,,,
"ItemPotionNoFoodLevel1","TID_TECH_ITEM_POTION_NO_FOOD_LEVEL_1","TID_TECH_ITEM_POTION_NO_FOOD_LEVEL_1_DESC",1,"Buildings",,,60,"ToolTech",,"PotionNoFood","ToolTech1","sc/ui.sc","icon_potion_no_food_lvl_1",,,,
"ItemPotionNoFoodLevel2","TID_TECH_ITEM_POTION_NO_FOOD_LEVEL_2","TID_TECH_ITEM_POTION_NO_FOOD_LEVEL_2_DESC",2,"Buildings",,,108000,"ToolTech",,"PotionNoFood","ToolTech2","sc/ui.sc","icon_potion_no_food_lvl_2",,,,
"ItemPotionNoFoodLevel3","TID_TECH_ITEM_POTION_NO_FOOD_LEVEL_3","TID_TECH_ITEM_POTION_NO_FOOD_LEVEL_3_DESC",3,"Buildings",,,264000,"ToolTech",,"PotionNoFood","ToolTech3","sc/ui.sc","icon_potion_no_food_lvl_3",,,,
"ItemPotionSpeedBrickmakerLevel1","TID_TECH_ITEM_POTION_SPEED_BRICKMAKER_LEVEL_1","TID_TECH_ITEM_POTION_SPEED_BRICKMAKER_LEVEL_1_DESC",1,"Buildings",,,354000,"ToolTech",,"PotionSpeedBrickmaker","ToolTech1","sc/ui.sc","icon_potion_brick_maker_lvl_1",,,,
"ItemPotionSpeedBrickmakerLevel2","TID_TECH_ITEM_POTION_SPEED_BRICKMAKER_LEVEL_2","TID_TECH_ITEM_POTION_SPEED_BRICKMAKER_LEVEL_2_DESC",2,"Buildings",,,300000,"ToolTech",,"PotionSpeedBrickmaker","ToolTech2","sc/ui.sc","icon_potion_brick_maker_lvl_2",,,,
"ItemPotionSpeedBrickmakerLevel3","TID_TECH_ITEM_POTION_SPEED_BRICKMAKER_LEVEL_3","TID_TECH_ITEM_POTION_SPEED_BRICKMAKER_LEVEL_3_DESC",3,"Buildings",,,600000,"ToolTech",,"PotionSpeedBrickmaker","ToolTech3","sc/ui.sc","icon_potion_brick_maker_lvl_3",,,,
"ItemPotionSpeedClaydiggerLevel1","TID_TECH_ITEM_POTION_SPEED_CLAYDIGGER_LEVEL_1","TID_TECH_ITEM_POTION_SPEED_CLAYDIGGER_LEVEL_1_DESC",1,"Buildings",,,13800,"ToolTech",,"PotionSpeedClaydigger","ToolTech1","sc/ui.sc","icon_potion_digging_lvl_1",,,,
"ItemPotionSpeedClaydiggerLevel2","TID_TECH_ITEM_POTION_SPEED_CLAYDIGGER_LEVEL_2","TID_TECH_ITEM_POTION_SPEED_CLAYDIGGER_LEVEL_2_DESC",2,"Buildings",,,120000,"ToolTech",,"PotionSpeedClaydigger","ToolTech2","sc/ui.sc","icon_potion_digging_lvl_2",,,,
"ItemPotionSpeedClaydiggerLevel3","TID_TECH_ITEM_POTION_SPEED_CLAYDIGGER_LEVEL_3","TID_TECH_ITEM_POTION_SPEED_CLAYDIGGER_LEVEL_3_DESC",3,"Buildings",,,198000,"ToolTech",,"PotionSpeedClaydigger","ToolTech3","sc/ui.sc","icon_potion_digging_lvl_3",,,,
"ItemPotionSpeedFarmerLevel1","TID_TECH_ITEM_POTION_SPEED_FARMER_LEVEL_1","TID_TECH_ITEM_POTION_SPEED_FARMER_LEVEL_1_DESC",1,"Buildings",,,27600,"ToolTech",,"PotionSpeedFarmer","ToolTech1","sc/ui.sc","icon_potion_harvesting_lvl_1",,,,
"ItemPotionSpeedFarmerLevel2","TID_TECH_ITEM_POTION_SPEED_FARMER_LEVEL_2","TID_TECH_ITEM_POTION_SPEED_FARMER_LEVEL_2_DESC",2,"Buildings",,,54000,"ToolTech",,"PotionSpeedFarmer","ToolTech2","sc/ui.sc","icon_potion_harvesting_lvl_2",,,,
"ItemPotionSpeedFarmerLevel3","TID_TECH_ITEM_POTION_SPEED_FARMER_LEVEL_3","TID_TECH_ITEM_POTION_SPEED_FARMER_LEVEL_3_DESC",3,"Buildings",,,240000,"ToolTech",,"PotionSpeedFarmer","ToolTech3","sc/ui.sc","icon_potion_harvesting_lvl_3",,,,
"ItemPotionSpeedLumberjackLevel1","TID_TECH_ITEM_POTION_SPEED_LUMBERJACK_LEVEL_1","TID_TECH_ITEM_POTION_SPEED_LUMBERJACK_LEVEL_1_DESC",1,"Buildings",,,9000,"ToolTech",,"PotionSpeedLumberjack","ToolTech1","sc/ui.sc","icon_potion_woodcutting_lvl_1",,,,
"ItemPotionSpeedLumberjackLevel2","TID_TECH_ITEM_POTION_SPEED_LUMBERJACK_LEVEL_2","TID_TECH_ITEM_POTION_SPEED_LUMBERJACK_LEVEL_2_DESC",2,"Buildings",,,54000,"ToolTech",,"PotionSpeedLumberjack","ToolTech2","sc/ui.sc","icon_potion_woodcutting_lvl_2",,,,
"ItemPotionSpeedLumberjackLevel3","TID_TECH_ITEM_POTION_SPEED_LUMBERJACK_LEVEL_3","TID_TECH_ITEM_POTION_SPEED_LUMBERJACK_LEVEL_3_DESC",3,"Buildings",,,432000,"ToolTech",,"PotionSpeedLumberjack","ToolTech3","sc/ui.sc","icon_potion_woodcutting_lvl_3",,,,
"ItemPotionSpeedResearcherLevel1","TID_TECH_ITEM_POTION_SPEED_RESEARCHER_LEVEL_1","TID_TECH_ITEM_POTION_SPEED_RESEARCHER_LEVEL_1_DESC",1,"Buildings",,,36000,"ToolTech",,"PotionSpeedResearcher","ToolTech1","sc/ui.sc","icon_potion_research_lvl_1",,,,
"ItemPotionSpeedResearcherLevel2","TID_TECH_ITEM_POTION_SPEED_RESEARCHER_LEVEL_2","TID_TECH_ITEM_POTION_SPEED_RESEARCHER_LEVEL_2_DESC",2,"Buildings",,,78000,"ToolTech",,"PotionSpeedResearcher","ToolTech2","sc/ui.sc","icon_potion_research_lvl_2",,,,
"ItemPotionSpeedResearcherLevel3","TID_TECH_ITEM_POTION_SPEED_RESEARCHER_LEVEL_3","TID_TECH_ITEM_POTION_SPEED_RESEARCHER_LEVEL_3_DESC",3,"Buildings",,,564000,"ToolTech",,"PotionSpeedResearcher","ToolTech3","sc/ui.sc","icon_potion_research_lvl_3",,,,
"ItemPotionSpeedSawyerLevel1","TID_TECH_ITEM_POTION_SPEED_SAWYER_LEVEL_1","TID_TECH_ITEM_POTION_SPEED_SAWYER_LEVEL_1_DESC",1,"Buildings",,,600000,"ToolTech",,"PotionSpeedSawyer","ToolTech1","sc/ui.sc","icon_potion_plank_maker_lvl_1",,,,
"ItemPotionSpeedSawyerLevel2","TID_TECH_ITEM_POTION_SPEED_SAWYER_LEVEL_2","TID_TECH_ITEM_POTION_SPEED_SAWYER_LEVEL_2_DESC",2,"Buildings",,,564000,"ToolTech",,"PotionSpeedSawyer","ToolTech2","sc/ui.sc","icon_potion_plank_maker_lvl_2",,,,
"ItemPotionSpeedSawyerLevel3","TID_TECH_ITEM_POTION_SPEED_SAWYER_LEVEL_3","TID_TECH_ITEM_POTION_SPEED_SAWYER_LEVEL_3_DESC",3,"Buildings",,,600000,"ToolTech",,"PotionSpeedSawyer","ToolTech3","sc/ui.sc","icon_potion_plank_maker_lvl_3",,,,
"ItemPotionSpeedStonemasonLevel1","TID_TECH_ITEM_POTION_SPEED_STONEMASON_LEVEL_1","TID_TECH_ITEM_POTION_SPEED_STONEMASON_LEVEL_1_DESC",1,"Buildings",,,45000,"ToolTech",,"PotionSpeedStonemason","ToolTech1","sc/ui.sc","icon_potion_mining_lvl_1",,,,
"ItemPotionSpeedStonemasonLevel2","TID_TECH_ITEM_POTION_SPEED_STONEMASON_LEVEL_2","TID_TECH_ITEM_POTION_SPEED_STONEMASON_LEVEL_2_DESC",2,"Buildings",,,108000,"ToolTech",,"PotionSpeedStonemason","ToolTech2","sc/ui.sc","icon_potion_mining_lvl_2",,,,
"ItemPotionSpeedStonemasonLevel3","TID_TECH_ITEM_POTION_SPEED_STONEMASON_LEVEL_3","TID_TECH_ITEM_POTION_SPEED_STONEMASON_LEVEL_3_DESC",3,"Buildings",,,600000,"ToolTech",,"PotionSpeedStonemason","ToolTech3","sc/ui.sc","icon_potion_mining_lvl_3",,,,
"WarehouseCount1","TID_TECH_WAREHOUSE_COUNT_1","TID_TECH_WAREHOUSE_COUNT_1_DESC",1,"Buildings",,,480,"BuildingCount","Warehouse",,,,,,,,
"WarehouseLevel2","TID_TECH_WAREHOUSE_LEVEL_2_TO_10","TID_TECH_WAREHOUSE_LEVEL_2_TO_10_DESC",2,"Buildings",,,3600,"BuildingLevel","Warehouse",,,,,,,,
"WarehouseLevel3","TID_TECH_WAREHOUSE_LEVEL_2_TO_10","TID_TECH_WAREHOUSE_LEVEL_2_TO_10_DESC",3,"Buildings",,,10200,"BuildingLevel","Warehouse",,,,,,,,
"WarehouseLevel4","TID_TECH_WAREHOUSE_LEVEL_2_TO_10","TID_TECH_WAREHOUSE_LEVEL_2_TO_10_DESC",4,"Buildings",,,90000,"BuildingLevel","Warehouse",,,,,,,,
"WarehouseLevel5","TID_TECH_WAREHOUSE_LEVEL_2_TO_10","TID_TECH_WAREHOUSE_LEVEL_2_TO_10_DESC",5,"Buildings",,,102000,"BuildingLevel","Warehouse",,,,,,,,
"WarehouseLevel6","TID_TECH_WAREHOUSE_LEVEL_2_TO_10","TID_TECH_WAREHOUSE_LEVEL_2_TO_10_DESC",6,"Buildings",,,156000,"BuildingLevel","Warehouse",,,,,,,,
"WarehouseLevel7","TID_TECH_WAREHOUSE_LEVEL_2_TO_10","TID_TECH_WAREHOUSE_LEVEL_2_TO_10_DESC",7,"Buildings",,,360000,"BuildingLevel","Warehouse",,,,,,,,
"WarehouseLevel8","TID_TECH_WAREHOUSE_LEVEL_2_TO_10","TID_TECH_WAREHOUSE_LEVEL_2_TO_10_DESC",8,"Buildings",,,600000,"BuildingLevel","Warehouse",,,,,,,,
"WarehouseLevel9","TID_TECH_WAREHOUSE_LEVEL_2_TO_10","TID_TECH_WAREHOUSE_LEVEL_2_TO_10_DESC",9,"Buildings",,,600000,"BuildingLevel","Warehouse",,,,,,,,
"WarehouseLevel10","TID_TECH_WAREHOUSE_LEVEL_2_TO_10","TID_TECH_WAREHOUSE_LEVEL_2_TO_10_DESC",10,"Buildings",,,600000,"BuildingLevel","Warehouse",,,,,,,,
"TechRecipeBread","TID_TECH_RECIPE_BREAD","TID_TECH_RECIPE_BREAD_DESC",1,"Buildings",,,60,"CraftingRecipe",,,,,,"RecipeBread",,,
"TechRecipeBerryPie","TID_TECH_RECIPE_BERRYPIE","TID_TECH_RECIPE_BERRYPIE_DESC",1,"Buildings",,,4200,"CraftingRecipe",,,,,,"RecipeBerryPie",,,
"TechRecipeBerryCake","TID_TECH_RECIPE_BERRYCAKE","TID_TECH_RECIPE_BERRYCAKE_DESC",1,"Buildings",,,570000,"CraftingRecipe",,,,,,"RecipeBerryCake",,,
"TreasuryCount1","TID_TECH_TREASURY_COUNT_1","TID_TECH_TREASURY_COUNT_1_DESC",1,"Buildings",,,6600,"BuildingCount","Treasury",,,,,,,,
