"Name","Disabled","TID","InfoTID","Reputation","MaxGuildLevel","ExtraBoatTasks","ExtraChallengeTasks","ExtraConstructionTasks","ExtraProductionSlots","ExtraCraftingSlots","ExtraVotePower","ExtraBoatTaskEnergy","ExtraChallengeTaskEnergy","ExtraConstructionTaskEnergy","RewardChest","IconSWF","IconExportName"
"BoatEnergy2",,"TID_REPUTATION_ROAD_BOAT_ENERGY","TID_REPUTATION_ROAD_INFO_BOAT_ENERGY",1600,,,,,,,,2,,,,"sc/ui.sc","reputation_perk_boat_tasks"
"ReputationChest005",,"TID_REPUTATION_ROAD_CHEST_REWARD_BIG","TID_REPUTATION_ROAD_INFO_CHEST_REWARD_BIG",2000,,,,,,,,,,,"ReputationChestBig01","sc/ui.sc","reputation_big_reward_chest"
"ReputationChest006",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",2200,,,,,,,,,,,"ReputationChestSmall05","sc/ui.sc","reputation_daily_reward_wooden_chest"
"ConstructionEnergy2",,"TID_REPUTATION_ROAD_CONSTRUCTION_ENERGY","TID_REPUTATION_ROAD_INFO_CONSTRUCTION_ENERGY",2500,,,,,,,,,,2,,"sc/ui.sc","reputation_perk_construction_task"
"ReputationChest007",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",2700,,,,,,,,,,,"ReputationChestSmall06","sc/ui.sc","reputation_daily_reward_wooden_chest"
"CraftingSlots3",,"TID_REPUTATION_ROAD_CRAFTING_SLOTS","TID_REPUTATION_ROAD_INFO_CRAFTING_SLOTS",3000,,,,,,3,,,,,,"sc/ui.sc","reputation_perk_crafting_potion"
"ReputationChest008",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",3300,,,,,,,,,,,"ReputationChestSmall07","sc/ui.sc","reputation_daily_reward_wooden_chest"
"Guild2",,"TID_REPUTATION_ROAD_GUILD_LEVEL","TID_REPUTATION_ROAD_INFO_GUILD_LEVEL",3600,2,,,,,,,,,,,"sc/ui.sc","reputation_perk_guilds_01"
"ReputationChest009",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",4000,,,,,,,,,,,"ReputationChestSmall08","sc/ui.sc","reputation_daily_reward_wooden_chest"
"ProductionSlots2",,"TID_REPUTATION_ROAD_PRODUCTION_SLOTS","TID_REPUTATION_ROAD_INFO_PRODUCTION_SLOTS",4300,,,,,2,,,,,,,"sc/ui.sc","reputation_perk_production_field_wool"
"ReputationChest010",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",4600,,,,,,,,,,,"ReputationChestSmall09","sc/ui.sc","reputation_daily_reward_wooden_chest"
"ReputationChest011",,"TID_REPUTATION_ROAD_CHEST_REWARD_BIG","TID_REPUTATION_ROAD_INFO_CHEST_REWARD_BIG",5000,,,,,,,,,,,"ReputationChestBig02","sc/ui.sc","reputation_big_reward_chest"
"ConstructionEnergy3",,"TID_REPUTATION_ROAD_CONSTRUCTION_ENERGY","TID_REPUTATION_ROAD_INFO_CONSTRUCTION_ENERGY",5300,,,,,,,,,,3,,"sc/ui.sc","reputation_perk_construction_task"
"ReputationChest012",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",5600,,,,,,,,,,,"ReputationChestSmall10","sc/ui.sc","reputation_daily_reward_wooden_chest"
"BoatEnergy3",,"TID_REPUTATION_ROAD_BOAT_ENERGY","TID_REPUTATION_ROAD_INFO_BOAT_ENERGY",6000,,,,,,,,3,,,,"sc/ui.sc","reputation_perk_boat_tasks"
"ReputationChest013",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",6300,,,,,,,,,,,"ReputationChestSmall11","sc/ui.sc","reputation_daily_reward_wooden_chest"
"Guild3",,"TID_REPUTATION_ROAD_GUILD_LEVEL","TID_REPUTATION_ROAD_INFO_GUILD_LEVEL",6600,3,,,,,,,,,,,"sc/ui.sc","reputation_perk_guilds_01"
"ReputationChest014",,"TID_REPUTATION_ROAD_CHEST_REWARD_BIG","TID_REPUTATION_ROAD_INFO_CHEST_REWARD_BIG",7000,,,,,,,,,,,"ReputationChestBig03","sc/ui.sc","reputation_big_reward_chest"
"ConstructionEnergy4",,"TID_REPUTATION_ROAD_CONSTRUCTION_ENERGY","TID_REPUTATION_ROAD_INFO_CONSTRUCTION_ENERGY",7300,,,,,,,,,,4,,"sc/ui.sc","reputation_perk_construction_task"
"ReputationChest015",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",7600,,,,,,,,,,,"ReputationChestSmall12","sc/ui.sc","reputation_daily_reward_wooden_chest"
"ReputationChest016",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",8000,,,,,,,,,,,"ReputationChestSmall13","sc/ui.sc","reputation_daily_reward_wooden_chest"
"Guild4",,"TID_REPUTATION_ROAD_GUILD_LEVEL","TID_REPUTATION_ROAD_INFO_GUILD_LEVEL",8300,4,,,,,,,,,,,"sc/ui.sc","reputation_perk_guilds_01"
"ReputationChest017",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",8600,,,,,,,,,,,"ReputationChestSmall14","sc/ui.sc","reputation_daily_reward_wooden_chest"
"CraftingSlots4",,"TID_REPUTATION_ROAD_CRAFTING_SLOTS","TID_REPUTATION_ROAD_INFO_CRAFTING_SLOTS",9000,,,,,,4,,,,,,"sc/ui.sc","reputation_perk_crafting_pottery"
"ReputationChest018",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",9300,,,,,,,,,,,"ReputationChestSmall15","sc/ui.sc","reputation_daily_reward_wooden_chest"
"Guild5",,"TID_REPUTATION_ROAD_GUILD_LEVEL","TID_REPUTATION_ROAD_INFO_GUILD_LEVEL",9600,5,,,,,,,,,,,"sc/ui.sc","reputation_perk_guilds_02"
"ReputationChest019",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",10000,,,,,,,,,,,"ReputationChestBig04","sc/ui.sc","reputation_big_reward_chest"
"BoatEnergy4",,"TID_REPUTATION_ROAD_BOAT_ENERGY","TID_REPUTATION_ROAD_INFO_BOAT_ENERGY",10500,,,,,,,,4,,,,"sc/ui.sc","reputation_perk_boat_tasks"
"ReputationChest020",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",11000,,,,,,,,,,,"ReputationChestSmall16","sc/ui.sc","reputation_daily_reward_wooden_chest"
"Guild6",,"TID_REPUTATION_ROAD_GUILD_LEVEL","TID_REPUTATION_ROAD_INFO_GUILD_LEVEL",11500,6,,,,,,,,,,,"sc/ui.sc","reputation_perk_guilds_02"
"ReputationChest021",,"TID_REPUTATION_ROAD_CHEST_REWARD_BIG","TID_REPUTATION_ROAD_INFO_CHEST_REWARD_BIG",12000,,,,,,,,,,,"ReputationChestBig05","sc/ui.sc","reputation_big_reward_chest"
"ReputationChest022",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",12500,,,,,,,,,,,"ReputationChestSmall17","sc/ui.sc","reputation_daily_reward_wooden_chest"
"ProductionSlots3",,"TID_REPUTATION_ROAD_PRODUCTION_SLOTS","TID_REPUTATION_ROAD_INFO_PRODUCTION_SLOTS",13000,,,,,3,,,,,,,"sc/ui.sc","reputation_perk_production_field_cotton"
"ReputationChest023",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",13500,,,,,,,,,,,"ReputationChestSmall18","sc/ui.sc","reputation_daily_reward_wooden_chest"
"Guild7",,"TID_REPUTATION_ROAD_GUILD_LEVEL","TID_REPUTATION_ROAD_INFO_GUILD_LEVEL",14000,7,,,,,,,,,,,"sc/ui.sc","reputation_perk_guilds_02"
"ReputationChest024",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",14500,,,,,,,,,,,"ReputationChestSmall19","sc/ui.sc","reputation_daily_reward_wooden_chest"
"ConstructionEnergy5",,"TID_REPUTATION_ROAD_CONSTRUCTION_ENERGY","TID_REPUTATION_ROAD_INFO_CONSTRUCTION_ENERGY",15000,,,,,,,,,,5,,"sc/ui.sc","reputation_perk_construction_task"
"ReputationChest025",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",15500,,,,,,,,,,,"ReputationChestSmall20","sc/ui.sc","reputation_daily_reward_wooden_chest"
"Guild8",,"TID_REPUTATION_ROAD_GUILD_LEVEL","TID_REPUTATION_ROAD_INFO_GUILD_LEVEL",16000,8,,,,,,,,,,,"sc/ui.sc","reputation_perk_guilds_02"
"ReputationChest026",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",16500,,,,,,,,,,,"ReputationChestSmall21","sc/ui.sc","reputation_daily_reward_wooden_chest"
"BoatEnergy5",,"TID_REPUTATION_ROAD_BOAT_ENERGY","TID_REPUTATION_ROAD_INFO_BOAT_ENERGY",17000,,,,,,,,5,,,,"sc/ui.sc","reputation_perk_boat_tasks"
"ReputationChest027",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",17500,,,,,,,,,,,"ReputationChestSmall22","sc/ui.sc","reputation_daily_reward_wooden_chest"
"ReputationChest028",,"TID_REPUTATION_ROAD_CHEST_REWARD_BIG","TID_REPUTATION_ROAD_INFO_CHEST_REWARD_BIG",18000,,,,,,,,,,,"ReputationChestBig06","sc/ui.sc","reputation_big_reward_chest"
"CraftingSlots5",,"TID_REPUTATION_ROAD_CRAFTING_SLOTS","TID_REPUTATION_ROAD_INFO_CRAFTING_SLOTS",18500,,,,,,5,,,,,,"sc/ui.sc","reputation_perk_crafting_dye_maker"
"ReputationChest029",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",19000,,,,,,,,,,,"ReputationChestSmall23","sc/ui.sc","reputation_daily_reward_wooden_chest"
"Guild9",,"TID_REPUTATION_ROAD_GUILD_LEVEL","TID_REPUTATION_ROAD_INFO_GUILD_LEVEL",19500,9,,,,,,,,,,,"sc/ui.sc","reputation_perk_guilds_02"
"ReputationChest030",,"TID_REPUTATION_ROAD_CHEST_REWARD_BIG","TID_REPUTATION_ROAD_INFO_CHEST_REWARD_BIG",20000,,,,,,,,,,,"ReputationChestBig07","sc/ui.sc","reputation_big_reward_chest"
"ConstructionEnergy6",,"TID_REPUTATION_ROAD_CONSTRUCTION_ENERGY","TID_REPUTATION_ROAD_INFO_CONSTRUCTION_ENERGY",21000,,,,,,,,,,6,,"sc/ui.sc","reputation_perk_construction_task"
"ReputationChest031",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",22000,,,,,,,,,,,"ReputationChestSmall24","sc/ui.sc","reputation_daily_reward_wooden_chest"
"ReputationChest032",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",23000,,,,,,,,,,,"ReputationChestSmall25","sc/ui.sc","reputation_daily_reward_wooden_chest"
"CraftingSlots6",,"TID_REPUTATION_ROAD_CRAFTING_SLOTS","TID_REPUTATION_ROAD_INFO_CRAFTING_SLOTS",24000,,,,,,6,,,,,,"sc/ui.sc","reputation_perk_crafting_toy_maker"
"ReputationChest033",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",25000,,,,,,,,,,,"ReputationChestSmall26","sc/ui.sc","reputation_daily_reward_wooden_chest"
"BoatEnergy6",,"TID_REPUTATION_ROAD_BOAT_ENERGY","TID_REPUTATION_ROAD_INFO_BOAT_ENERGY",26000,,,,,,,,6,,,,"sc/ui.sc","reputation_perk_boat_tasks"
"ReputationChest034",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",27000,,,,,,,,,,,"ReputationChestSmall27","sc/ui.sc","reputation_daily_reward_wooden_chest"
"Guild10",,"TID_REPUTATION_ROAD_GUILD_LEVEL","TID_REPUTATION_ROAD_INFO_GUILD_LEVEL",28000,10,,,,,,,,,,,"sc/ui.sc","reputation_perk_guilds_02"
"ReputationChest035",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",29000,,,,,,,,,,,"ReputationChestSmall28","sc/ui.sc","reputation_daily_reward_wooden_chest"
"ReputationChest036",,"TID_REPUTATION_ROAD_CHEST_REWARD_BIG","TID_REPUTATION_ROAD_INFO_CHEST_REWARD_BIG",30000,,,,,,,,,,,"ReputationChestBig08","sc/ui.sc","reputation_big_reward_chest"
"ReputationChest037",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",31000,,,,,,,,,,,"ReputationChestSmall29","sc/ui.sc","reputation_daily_reward_wooden_chest"
"ReputationChest038",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",32000,,,,,,,,,,,"ReputationChestSmall30","sc/ui.sc","reputation_daily_reward_wooden_chest"
"ReputationChest039",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",33000,,,,,,,,,,,"ReputationChestSmall31","sc/ui.sc","reputation_daily_reward_wooden_chest"
"ReputationChest040",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",34000,,,,,,,,,,,"ReputationChestSmall32","sc/ui.sc","reputation_daily_reward_wooden_chest"
"ReputationChest041",,"TID_REPUTATION_ROAD_CHEST_REWARD_BIG","TID_REPUTATION_ROAD_INFO_CHEST_REWARD_BIG",35000,,,,,,,,,,,"ReputationChestBig09","sc/ui.sc","reputation_big_reward_chest"
"ReputationChest042",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",36000,,,,,,,,,,,"ReputationChestSmall33","sc/ui.sc","reputation_daily_reward_wooden_chest"
"ReputationChest043",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",37000,,,,,,,,,,,"ReputationChestSmall34","sc/ui.sc","reputation_daily_reward_wooden_chest"
"ReputationChest044",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",38000,,,,,,,,,,,"ReputationChestSmall35","sc/ui.sc","reputation_daily_reward_wooden_chest"
"ReputationChest045",,"TID_REPUTATION_ROAD_CHEST_REWARD","TID_REPUTATION_ROAD_INFO_CHEST_REWARD",39000,,,,,,,,,,,"ReputationChestSmall36","sc/ui.sc","reputation_daily_reward_wooden_chest"
"ReputationChest046",,"TID_REPUTATION_ROAD_CHEST_REWARD_BIG","TID_REPUTATION_ROAD_INFO_CHEST_REWARD_BIG",40000,,,,,,,,,,,"ReputationChestBig10","sc/ui.sc","reputation_big_reward_chest"
