"Name","NumberValue","BooleanValue","TextValue","NumberArray","AltNumberArray","StringArray","AltStringArray","HexArray"
"NATION_LOCATIONS_BOUNDS_MIN_X",-2400,,,,,,,
"NATION_LOCATIONS_BOUNDS_MIN_Y",-2400,,,,,,,
"NATION_LOCATIONS_BOUNDS_MAX_X",3500,,,,,,,
"NATION_LOCATIONS_BOUNDS_MAX_Y",3000,,,,,,,
,,,,,,,,
"CONSTRUCTION_VOTE_DURATION_SECONDS",86400,,,,,,,
"BUILDING_TASK_EXPIRATION_SECONDS",86400,,,,,,,
,,,,,,,,
"BOAT_TASK_ENERGY_CAP",3,,,,,,,
"BOAT_TASK_ENERGY_REGEN_PIECE_SECONDS",3600,,,,,,,
"CHALLENGE_TASK_ENERGY_CAP",3,,,,,,,
"CHALLENGE_TASK_ENERGY_REGEN_PIECE_SECONDS",3600,,,,,,,
"CONSTRUCTION_TASK_ENERGY_CAP",3,,,,,,,
"CONSTRUCTION_TASK_ENERGY_REGEN_PIECE_SECONDS",3600,,,,,,,
"VILLAGE_TASK_COUNT",9,,,,,,,
"VILLAGE_TASK_CYCLE_SECONDS",86400,,,,,,,
"VILLAGE_TASK_KNOWLEDGE_POINT_REWARD_PCT",20,,,,,,,
"VILLAGE_TASK_MIN_REQUIREMENT",,,,6,,,,
,,,,6,,,,
,,,,6,,,,
,,,,6,,,,
,,,,6,,,,
,,,,8,,,,
,,,,10,,,,
,,,,12,,,,
,,,,14,,,,
,,,,15,,,,
,,,,15,,,,
,,,,15,,,,
,,,,15,,,,
,,,,15,,,,
,,,,15,,,,
"VILLAGE_TASK_MAX_REQUIREMENT",,,,10,,,,
,,,,10,,,,
,,,,10,,,,
,,,,10,,,,
,,,,10,,,,
,,,,12,,,,
,,,,18,,,,
,,,,20,,,,
,,,,22,,,,
,,,,25,,,,
,,,,25,,,,
,,,,25,,,,
,,,,25,,,,
,,,,25,,,,
,,,,25,,,,
"BOAT_TASK_MIN_REQUIREMENT",,,,6,,,,
,,,,6,,,,
,,,,6,,,,
,,,,10,,,,
,,,,15,,,,
,,,,22,,,,
,,,,30,,,,
,,,,41,,,,
,,,,53,,,,
,,,,69,,,,
,,,,69,,,,
,,,,69,,,,
,,,,69,,,,
,,,,69,,,,
,,,,69,,,,
"BOAT_TASK_MAX_REQUIREMENT",,,,14,,,,
,,,,14,,,,
,,,,14,,,,
,,,,19,,,,
,,,,25,,,,
,,,,34,,,,
,,,,44,,,,
,,,,56,,,,
,,,,72,,,,
,,,,90,,,,
,,,,90,,,,
,,,,90,,,,
,,,,90,,,,
,,,,90,,,,
,,,,90,,,,
"VILLAGE_INGREDIENT_TASK_MIN",1,,,,,,,
"VILLAGE_INGREDIENT_TASK_MAX",3,,,,,,,
"DAILY_OFFERS_DURATION_SECONDS",86400,,,,,,,
"MAX_MEMBERS_FOR_TECH_TIER_AVERAGE",8,,,,,,,
,,,,,,,,
"REPUTATION_VOTE_WEIGHTS",,,,0,1,,,
,,,,2000,1,,,
,,,,3000,1,,,
,,,,4000,1,,,
,,,,5000,1,,,
,,,,6000,1,,,
,,,,7000,1,,,
,,,,8000,1,,,
,,,,9000,1,,,
,,,,10000,1,,,
"REPUTATION_DECAY_LIMIT",20000,,,,,,,
"REPUTATION_DECAY_INTERVAL_HOURS",24,,,,,,,
"REPUTATION_DECAY_PERCENTAGE",5,,,,,,,
,,,,,,,,
"BUILDING_MOVE_ENERGY_CAP",0,,,,,,,
"BUILDING_MOVE_ENERGY_REGEN_PIECE_SECONDS",86400,,,,,,,
,,,,,,,,
"FTUE_WORKER_DATA",,,"carolina_worker_00",,,,,
,,,,,,,,
"TUTORIAL_SPEED_BOOST_WALK",30,,,,,,,
"TUTORIAL_SPEED_BOOST_WORK",800,,,,,,,
"TUTORIAL_SPEED_BOOST_EAT",10,,,,,,,
,,,,,,,,
"MIN_EXP_LEVEL_FOR_HUD_NOTIFICATIONS",3,,,,,,,
,,,,,,,,
"MAX_FAILED_CHECKSUM_TOKEN_MILLIS",10000,,,,,,,
"MAX_CLIENT_MILLIS_AHEAD_OF_SERVER",10000,,,,,,,
,,,,,,,,
"NATION_MAX_ONGOING_CONSTRUCTIONS",3,,,,,,,
,,,,,,,,
"TUTORIAL_SPEED_BOOST_WALK_AND_WORK_BY_XP",,,,60,1300,,,
,,,,60,1300,,,
,,,,60,1300,,,
,,,,60,1300,,,
,,,,60,1300,,,
,,,,60,1300,,,
,,,,55,1200,,,
,,,,50,1100,,,
,,,,45,1000,,,
,,,,40,800,,,
,,,,35,600,,,
,,,,30,400,,,
,,,,25,200,,,
,,,,20,100,,,
,,,,15,50,,,
,,,,0,0,,,
"TUTORIAL_HUNGER_MULTIPLIER_WALK_AND_WORK_BY_XP",,,,140,500,,,
,,,,140,500,,,
,,,,140,500,,,
,,,,140,500,,,
,,,,140,500,,,
,,,,140,500,,,
,,,,140,400,,,
,,,,140,350,,,
,,,,130,300,,,
,,,,125,250,,,
,,,,120,200,,,
,,,,115,200,,,
,,,,110,200,,,
,,,,105,150,,,
,,,,100,100,,,
,,,,100,100,,,
,,,,,,,,
,,,,,,,,
"NATION_ELDER_PROBATION_TIME_MINUTES",1440,,,,,,,
"NATION_ELDER_PROBATION_MIN_VALLEY_AGE_MINUTES",2880,,,,,,,
,,,,,,,,
"QUEST_FEATURE_XP_REQUIREMENT",999999,,,,,,,
"QUEST_FEATURE_INITIAL_TIMER",3600,,,,,,,
,,,,,,,,
"SURVEY_ENABLED",,"FALSE",,,,,,
"SURVEY_MIN_ACCOUNT_AGE_IN_DAYS",1,,,,,,,
,,,,,,,,
"OFFER_RESOURCE_PACK_COUNT_MIN_MAX",,,,10,10,,,
,,,,10,10,,,
,,,,10,10,,,
,,,,10,10,,,
,,,,20,20,,,
,,,,30,30,,,
,,,,40,40,,,
,,,,60,60,,,
,,,,75,75,,,
,,,,90,90,,,
,,,,110,110,,,
,,,,110,110,,,
,,,,110,110,,,
,,,,110,110,,,
,,,,110,110,,,
,,,,110,110,,,
"CHALLENGE_SPAWN_INTERVAL_MINUTES",4320,,,,,,,
"MAX_CHALLENGES",2,,,,,,,
,,,,,,,,
"FRIEND_REFERRAL_SYSTEM_ENABLED",,"TRUE",,,,,,
"FRIEND_REFERRAL_INVITE_GEM_REWARD",100,,,,,,,
"FRIEND_REFERRAL_AMOUNT",10,,,,,,,
"FRIEND_REFERRAL_ACCEPT_GEM_REWARD",100,,,,,,,
"VALLEY_TASKS_REQUIRE_FOR_INSTA_COMPLETE",5,,,,,,,
,,,,,,,,
"FRIEND_REFERRAL_SYSTEM_ENABLED_IOS",,"TRUE",,,,,,
"FRIEND_REFERRAL_SYSTEM_ENABLED_ANDROID",,"TRUE",,,,,,
