"Name","TID","TIDAggregated","EnabledByDefault","Aggregate","MinDelayMinutes","TriggerVillageEvent","TriggerNationEvent","AndroidChannel","OnlyShowFirst","OnlyShowLast","ShowOnHUD","NotificationChannel"
"ValleyPromoted","TID_STREAM_EVENT_PROMOTED",,"TRUE",,,,"PROMOTED_TO_ELDER",,,,,"Valley"
"ValleyDemoted","TID_STREAM_EVENT_DEMOTED",,"FALSE",,,,"DEMOTED_FROM_ELDER",,,,,"Valley"
"ValleyLeaderChange","TID_STREAM_EVENT_LEADER_CHANGED",,"FALSE",,,,"LEADER_CHANGED",,,,"TRUE","Valley"
"ValleyVoteStart","TID_STREAM_EVENT_VOTE_STARTED",,"TRUE",,,,"VOTE_STARTED",,,,"TRUE","Valley"
"ValleyVoteEnd","TID_STREAM_EVENT_LEADER_VOTE_ENDED",,"TRUE",,,,"VOTE_ENDED",,,,"TRUE","Valley"
"ValleyVoteEndNoResult","TID_STREAM_EVENT_LEADER_VOTE_ENDED_NO_RESULT",,"TRUE",,,,"VOTE_ENDED_NO_RESULT",,,,"TRUE","Valley"
"ValleyUpgradeStart","TID_STREAM_EVENT_UPGRADE_STARTED",,"TRUE",,,,"UPGRADE_STARTED",,,,"TRUE","Valley"
"ValleyUpgradeFinish","TID_STREAM_EVENT_UPGRADE_FINISHED",,"TRUE",,,,"UPGRADE_FINISHED",,,,"TRUE","Valley"
"ValleyConstructionStart","TID_STREAM_EVENT_CONSTRUCTION_STARTED",,"TRUE",,,,"CONSTRUCTION_STARTED",,,,"TRUE","Valley"
"ValleyConstructionFinish","TID_STREAM_EVENT_CONSTRUCTION_FINISHED",,"TRUE",,,,"CONSTRUCTION_FINISHED",,,,"TRUE","Valley"
"ValleyResearchStart","TID_STREAM_EVENT_TECH_RESEARCH_STARTED",,"TRUE",,,,"TECH_RESEARCH_STARTED",,,,"TRUE","Valley"
"ValleyResearchComplete","TID_STREAM_EVENT_TECH_RESEARCHED",,"TRUE",,,,"TECH_RESEARCHED",,,,"TRUE","Valley"
"ValleyChat","TID_NOTIFICATION_CHAT",,"TRUE",,,,,,,,,"Chat"
"TraderArrived","TID_EVENT_TRADER_ARRIVED",,"TRUE",,,"TRADER_ARRIVED",,,,,"TRUE","Village"
"ValleyAutoKick","TID_STREAM_EVENT_AUTO_KICK",,"TRUE",,,,"AUTO_KICK",,,,,"Valley"
"ValleyProductionReady","TID_EVENT_VALLEY_PRODUCTION_READY",,"FALSE",,,"VALLEY_PRODUCTION_READY",,,,,,"Valley"
"ValleyCraftingReady","TID_EVENT_VALLEY_CRAFTING_READY",,"FALSE",,,"VALLEY_CRAFTING_READY",,,,,,"Valley"
"ValleyGuildTrainingReady","TID_EVENT_GUILD_TRAINING_READY",,"TRUE",,,"VALLEY_GUILD_TRAINING_READY",,,,,,"Valley"
"ValleyChallengeAppeared","TID_STREAM_EVENT_CHALLENGE_APPEARED",,"TRUE",,,,"CHALLENGE_APPEARED",,,,"TRUE","Valley"
"ValleyChallengeStarted","TID_STREAM_EVENT_CHALLENGE_STARTED",,"TRUE",,,,"CHALLENGE_STARTED",,,,"TRUE","Valley"
"ValleyChallengeWon","TID_STREAM_EVENT_CHALLENGE_WON",,"TRUE",,,,"CHALLENGE_WON",,,,"TRUE","Valley"
"ValleyChallengeStageCompleted","TID_STREAM_EVENT_CHALLENGE_STAGE_COMPLETED",,"TRUE",,,,"CHALLENGE_STAGE_COMPLETED",,,,"TRUE","Valley"
