"Name","TID","VerbTID","IconSWF","IconExportName","IconFrameLabel","BoostingTool","BoostingSpecialty","CanHarvest","HungerPerMinute","XPGenerated","WorkAnimation1","WorkAnimation2","WorkAnimation3","AttachmentSCW1","AttachmentSCW2","AttachmentSCW3"
"Miller","TID_PROFESSION_MILLER","TID_PROFESSION_MILLER_VERB","sc/ui.sc","icon_wheat","icon_tool_hammer",,,,40,,"Forage","Forage","Forage","sc3d/tool_hammer_geo.glb",,
"Carpenter","TID_PROFESSION_CARPENTER","TID_PROFESSION_CARPENTER_VERB","sc/ui.sc","icon_hammer","icon_tool_hammer",,,,40,,"Build","Build","Build","sc3d/tool_hammer_geo.glb",,
"Stonecarver","TID_PROFESSION_STONECARVER","TID_PROFESSION_STONECARVER_VERB","sc/ui.sc","icon_hammer","icon_tool_hammer",,,,40,,"Build","Build","Build","sc3d/tool_hammer_geo.glb",,
"Juicemaker","TID_PROFESSION_JUICEMAKER","TID_PROFESSION_JUICEMAKER_VERB","sc/ui.sc","icon_meat","icon_tool_hammer",,,,40,,"Forage","Forage","Forage","sc3d/tool_hammer_geo.glb",,
"Potter","TID_PROFESSION_POTTER","TID_PROFESSION_POTTER_VERB","sc/ui.sc","icon_hammer","icon_tool_hammer",,,,40,,"Build","Build","Build","sc3d/tool_hammer_geo.glb",,
"Applepicker","TID_PROFESSION_APPLEPICKER","TID_PROFESSION_APPLEPICKER_VERB","sc/ui.sc","icon_meat","icon_tool_hammer",,,"true",,,"WaterPlant","WaterPlant","Forage","sc3d/tool_sickle_geo.glb",,
"Shepherd","TID_PROFESSION_SHEPHERD","TID_PROFESSION_SHEPHERD_VERB","sc/ui.sc","icon_wheat","icon_tool_hammer",,,"true",,,"Forage","Forage","Forage","sc3d/tool_sickle_geo.glb",,
"Wheatfarmer","TID_PROFESSION_WHEATFARMER","TID_PROFESSION_WHEATFARMER_VERB","sc/ui.sc","icon_wheat","icon_tool_hammer","PotionSpeedFarmer","Farming","true",,,"Plant","WaterPlant","CutPlant","sc3d/tool_sickle_geo.glb",,
"Fisher","TID_PROFESSION_FISHER","TID_PROFESSION_FISHER_VERB","sc/ui.sc","icon_wheat","icon_tool_hammer",,,"true",,,"Idle","Idle","Idle","sc3d/tool_sickle_geo.glb",,
"Cottonfarmer","TID_PROFESSION_COTTONFARMER","TID_PROFESSION_COTTONFARMER_VERB","sc/ui.sc","icon_wheat","icon_tool_hammer","PotionSpeedFarmer","Farming","true",,,"Plant","WaterPlant","CutPlant","sc3d/tool_sickle_geo.glb",,
"Indigofarmer","TID_PROFESSION_INDIGOFARMER","TID_PROFESSION_INDIGOFARMER_VERB","sc/ui.sc","icon_wheat","icon_tool_hammer","PotionSpeedFarmer","Farming","true",,,"Plant","WaterPlant","CutPlant","sc3d/tool_sickle_geo.glb",,
"Sugarfarmer","TID_PROFESSION_SUGARFARMER","TID_PROFESSION_SUGARFARMER_VERB","sc/ui.sc","icon_wheat","icon_tool_hammer","PotionSpeedFarmer","Farming","true",,,"Plant","WaterPlant","CutPlant","sc3d/tool_sickle_geo.glb",,
"Saltfarmer","TID_PROFESSION_SALTFARMER","TID_PROFESSION_SALTFARMER_VERB","sc/ui.sc","icon_wheat","icon_tool_hammer","PotionSpeedFarmer","Farming","true",,,"ClayDig","Plant","CutPlant","sc3d/tool_sickle_geo.glb",,
