"Items",,,,,,,,,,,,,,
,"Data","Type","FixedX","FixedY","IgnorePlacementRules","MinDistanceFromCenter","MaxDistanceFromCenter","State","StoredWood","StoredFood","StoredCoins","StoredBerry","StoredMushroom","AutomaticallyProducedAmount"
,"BerryClump_ftue","Obstacle",47,41,,,,,,,,,,
,"LargeClay1_ftue1","Obstacle",41,44,,,,,,,,,,
,"LargeClay1_ftue1","Obstacle",44,43,,,,,,,,,,
"ObstacleResourceAmounts",,,,,,,,,,,,,,
,"Resource","TargetAmount",,,,,,,,,,,,
,"String","int",,,,,,,,,,,,
,"Wood",800,,,,,,,,,,,,
,"Stone",250,,,,,,,,,,,,
,"Clay",150,,,,,,,,,,,,
,"Berry",70,,,,,,,,,,,,
,"Mushroom",40,,,,,,,,,,,,
"Locations",,,,,,,,,,,,,,
,"X","Y",,,,,,,,,,,,
,"int","int",,,,,,,,,,,,
,25,24,,,,,,,,,,,,
,25,29,,,,,,,,,,,,
,21,25,,,,,,,,,,,,
,29,25,,,,,,,,,,,,
,22,22,,,,,,,,,,,,
,27,29,,,,,,,,,,,,
,25,20,,,,,,,,,,,,
,31,27,,,,,,,,,,,,
,28,19,,,,,,,,,,,,
,22,31,,,,,,,,,,,,
,30,30,,,,,,,,,,,,
,19,21,,,,,,,,,,,,
,19,29,,,,,,,,,,,,
,32,23,,,,,,,,,,,,
,17,25,,,,,,,,,,,,
,26,33,,,,,,,,,,,,
,21,18,,,,,,,,,,,,
,26,16,,,,,,,,,,,,
,32,19,,,,,,,,,,,,
,34,27,,,,,,,,,,,,
,30,33,,,,,,,,,,,,
,21,34,,,,,,,,,,,,
,33,31,,,,,,,,,,,,
,35,23,,,,,,,,,,,,
,30,16,,,,,,,,,,,,
,34,20,,,,,,,,,,,,
,22,15,,,,,,,,,,,,
,17,32,,,,,,,,,,,,
,15,21,,,,,,,,,,,,
,14,26,,,,,,,,,,,,
,36,26,,,,,,,,,,,,
,15,30,,,,,,,,,,,,
,25,13,,,,,,,,,,,,
,25,37,,,,,,,,,,,,
,17,16,,,,,,,,,,,,
,17,34,,,,,,,,,,,,
,30,36,,,,,,,,,,,,
,35,33,,,,,,,,,,,,
,37,30,,,,,,,,,,,,
,14,18,,,,,,,,,,,,
,27,38,,,,,,,,,,,,
,12,22,,,,,,,,,,,,
,12,28,,,,,,,,,,,,
,19,13,,,,,,,,,,,,
,21,38,,,,,,,,,,,,
,33,14,,,,,,,,,,,,
,29,12,,,,,,,,,,,,
,36,17,,,,,,,,,,,,
,23,11,,,,,,,,,,,,
,39,22,,,,,,,,,,,,
,13,33,,,,,,,,,,,,
,33,37,,,,,,,,,,,,
,14,15,,,,,,,,,,,,
,31,39,,,,,,,,,,,,
,38,33,,,,,,,,,,,,
,28,10,,,,,,,,,,,,
,10,29,,,,,,,,,,,,
,14,36,,,,,,,,,,,,
,36,36,,,,,,,,,,,,
,32,11,,,,,,,,,,,,
,40,30,,,,,,,,,,,,
,25,9,,,,,,,,,,,,
,41,25,,,,,,,,,,,,
,9,22,,,,,,,,,,,,
,21,41,,,,,,,,,,,,
,34,11,,,,,,,,,,,,
,11,16,,,,,,,,,,,,
,16,39,,,,,,,,,,,,
,25,42,,,,,,,,,,,,
,8,26,,,,,,,,,,,,
,38,14,,,,,,,,,,,,
,19,9,,,,,,,,,,,,
,42,27,,,,,,,,,,,,
,15,11,,,,,,,,,,,,
,42,21,,,,,,,,,,,,
,41,18,,,,,,,,,,,,
,18,41,,,,,,,,,,,,
,39,36,,,,,,,,,,,,
,31,42,,,,,,,,,,,,
,22,7,,,,,,,,,,,,
,41,34,,,,,,,,,,,,
,10,14,,,,,,,,,,,,
,36,40,,,,,,,,,,,,
,10,36,,,,,,,,,,,,
,40,14,,,,,,,,,,,,
,8,33,,,,,,,,,,,,
,31,7,,,,,,,,,,,,
,43,31,,,,,,,,,,,,
,12,11,,,,,,,,,,,,
,39,12,,,,,,,,,,,,
,22,44,,,,,,,,,,,,
,15,42,,,,,,,,,,,,
,39,39,,,,,,,,,,,,
,44,19,,,,,,,,,,,,
,45,25,,,,,,,,,,,,
,25,45,,,,,,,,,,,,
,16,7,,,,,,,,,,,,
,5,22,,,,,,,,,,,,
,6,18,,,,,,,,,,,,
,5,29,,,,,,,,,,,,
,29,5,,,,,,,,,,,,
,12,41,,,,,,,,,,,,
,37,8,,,,,,,,,,,,
,25,4,,,,,,,,,,,,
,4,25,,,,,,,,,,,,
,44,16,,,,,,,,,,,,
,43,36,,,,,,,,,,,,
,5,32,,,,,,,,,,,,
,18,45,,,,,,,,,,,,
,46,22,,,,,,,,,,,,
,46,28,,,,,,,,,,,,
,22,4,,,,,,,,,,,,
,29,46,,,,,,,,,,,,
,45,33,,,,,,,,,,,,
,33,45,,,,,,,,,,,,
,7,13,,,,,,,,,,,,
,19,4,,,,,,,,,,,,
,40,9,,,,,,,,,,,,
,34,5,,,,,,,,,,,,
,6,36,,,,,,,,,,,,
,11,8,,,,,,,,,,,,
,23,47,,,,,,,,,,,,
,43,12,,,,,,,,,,,,
,38,43,,,,,,,,,,,,
,5,15,,,,,,,,,,,,
,20,47,,,,,,,,,,,,
,41,41,,,,,,,,,,,,
,31,3,,,,,,,,,,,,
,3,19,,,,,,,,,,,,
,36,45,,,,,,,,,,,,
,16,4,,,,,,,,,,,,
,37,5,,,,,,,,,,,,
,6,39,,,,,,,,,,,,
,3,34,,,,,,,,,,,,
,12,45,,,,,,,,,,,,
,8,42,,,,,,,,,,,,
,15,47,,,,,,,,,,,,
,46,37,,,,,,,,,,,,
,12,4,,,,,,,,,,,,
,3,37,,,,,,,,,,,,
,47,13,,,,,,,,,,,,
,7,7,,,,,,,,,,,,
,44,8,,,,,,,,,,,,
,42,44,,,,,,,,,,,,
,41,5,,,,,,,,,,,,
,9,45,,,,,,,,,,,,
,45,41,,,,,,,,,,,,
,4,10,,,,,,,,,,,,
,5,42,,,,,,,,,,,,
,40,47,,,,,,,,,,,,
,7,4,,,,,,,,,,,,
,6,46,,,,,,,,,,,,
,3,7,,,,,,,,,,,,
,45,46,,,,,,,,,,,,
,44,3,,,,,,,,,,,,
,47,44,,,,,,,,,,,,
,3,44,,,,,,,,,,,,
,4,4,,,,,,,,,,,,
,47,5,,,,,,,,,,,,
,0,0,,,,,,,,,,,,
"ValidSeeds",,,,,,,,,,,,,,
,1248,,,,,,,,,,,,,
