"Name","TID","TIDUnconstructed","InfoTitleTID","InfoTID","InfoTIDUnconstructed","NPCGreetingTID","BeginBuildResource","BeginBuildCost","BuildResource1","BuildCost1","BuildResource2","BuildCost2","BuildResource3","BuildCost3","BuildResource4","BuildCost4","BuildResource5","BuildCost5","BuildingClass","ShopBuildingClass","GroundLayer","IconSWF","XP","SCW","SCWRotated","SCWBase","SCWUnconstructed","SCWConstruction","SCWConstructionExtra","SCWClaim","SCWUiBase","SCWAreaGreen","SCWAreaRed","CollisionShape","Scale","MoveResource","TerrainHoleSize","ColorizeMaterials","MoveCost","TownHallLevel","Width","Height","WalkableBorder","IgnoreAdjacentBuildingSpace","ObstacleGrowthDistance","Icon","MaxStoredFountainBoost","MaxStoredWood","MaxStoredBread","MaxStoredStone","MaxStoredFood","MaxStoredClay","MaxStoredPotionIngredient1","MaxStoredPotionIngredient2","MaxStoredPotionIngredient3","MaxStoredPotionIngredient4","MaxStoredPotionIngredient5","MaxStoredPotionIngredient6","MaxStoredCoins","MaxStoredWool","MaxStoredWheat","MaxStoredBerry","MaxStoredMushroom","MaxStoredEgg","MaxStoredBerryPie","MaxStoredBerryCake","MaxStoredFish","MaxStoredCotton","MaxStoredIndigo","MaxStoredSugar","MaxStoredSalt","MaxStoredSugarApple","MaxStoredHoneyCookie","MaxStoredFishPie","MaxStoredApplePie","MaxStoredCakeRoyale","MaxStoredSaltedFish","MaxStoredSaltPot","MaxStoredHoneyPot","MaxStoredAppleJam","MaxStoredSweetHerring","MaxStoredDyeRed","MaxStoredDyeYellow","MaxStoredDyeBlue","MaxStoredDyeGreen","MaxStoredDyeOrange","MaxStoredDyePurple","MaxStoredDyeRainbow","MaxStoredPlushie","MaxStoredRuneGame","MaxStoredWoodenDuck","MaxStoredMarbles","MaxStoredWoodenDoll","MaxStoredSocks","MaxStoredTrousers","MaxStoredHat","MaxStoredTunic","MaxStoredShirt","MaxStoredDress","MaxStoredJacket","MaxStoredRainbowSuit","MaxStoredFigurine","MaxStoredPottery","MaxStoredStatuette","MaxStoredAppleJuice","MaxStoredFlour","MaxStoredHoney","MaxStoredApple","MaxStoredCarrot","StartingResourcePercent","StartingPotionIngredient1","StartingPotionIngredient2","StartingPotionIngredient3","StartingPotionIngredient4","StartingPotionIngredient5","StartingPotionIngredient6","Profession","MaxWorkers","MaxAutomaticallyProducedResources","ProducesResource","ResourceBatchSeconds","ResourceBatchSize","ResourceMax","InputResource","InputResourceType","InputPerBatch","HarvestResource","WorkPos1","WorkAnim1","WorkPos2","WorkAnim2","PickUpEffect","PlacingEffect","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","AmountCanBeUpgraded","Workers","SpawnResourceData","SpawnResourcePlantSeconds","SpawnResourceAverageSeconds","SpawnResourceHarvestSeconds","SpawnCount","SpawnPos1","SpawnSCW1","SpawnPos2","SpawnSCW2","SpawnPos3","SpawnSCW3","SpawnPos4","SpawnSCW4","SpawnPos5","SpawnSCW5","SpawnPos6","SpawnSCW6","SpawnPos7","SpawnSCW7","SpawnPos8","SpawnSCW8","SpawnPos9","SpawnSCW9","Passable","SpeedPercentage","RandomDirection","RandomYaw","RandomPitch","RandomScale","RandomBaseDirection","RandomBaseYaw","StoredResourceNodePrefix","StoredResourceNode2Prefix","StoredResourceGfxSCW","StoredResourceCountPerObject","RequestAmount","RequestExpiryMinutes","RequestCooldownMinutes","DonationLimit","DonationMoveSpeed","DonationCooldownSeconds","ConstantEffect","VillageTaskProvider","VillageTaskFulfiller","EffectActivePos","EffectActiveName","EffectBoostPos","EffectBoostName","EffectBoostScalePercent","ForceNonInteractive","NPC","NPCPlacement","CanBeBatched","IconCameraZoom","IconCameraY","SpawnAnimal","UIBackgroundExportName","LocationSound","UpgradeSignX","UpgradeSignY","UpgradeSignZ","UpgradeSignScale","AnimationAlwaysOn","TouchEffect","IsTaskFulfiller","PremiumTradePartner","ValleyLODScale","ValleyLODMoveFactor"
,,,,,,,"Coins",9600,"Brick",440,"Clay",630,,,,,,,,,,,1,"sc3d/bldv_villagesquare_lv10_geo.glb",,,,,,,,,,,,,,,,,,,,,,,10000,,40,,160,,,,,,,,3000,,160,160,160,160,40,40,160,,,160,160,40,40,40,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,160,160,160,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,"true","Tap_village_kitchen_soup",,,,
,,,,,,,"Coins",12900,"Brick",560,"Plank",400,,,,,,,,,,,1,"sc3d/bldv_villagesquare_lv11_geo.glb",,,,,,,,,,,,,,,,,,,,,,,10000,,45,,180,,,,,,,,3000,,180,180,180,180,45,45,180,,,180,180,45,45,45,45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,180,180,180,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,"true","Tap_village_kitchen_soup",,,,
,,,,,,,"Coins",15000,"Brick",610,"Plank",440,,,,,,,,,,,1,"sc3d/bldv_villagesquare_lv12_geo.glb",,,,,,,,,,,,,,,,,,,,,,,10000,,50,,200,,,,,,,,3000,,200,200,200,200,50,50,200,,,200,200,50,50,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,200,200,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,"true","Tap_village_kitchen_soup",,,,
"WoodStorage","TID_BUILDING_WOOD_STORAGE",,"TID_INFO_TITLE_STORAGE","TID_BUILDING_WOOD_STORAGE_INFO",,,"Coins",50,"Wood",1,,,,,,,,,"Resource",,,,1,"sc3d/bldv_wood_storage_lv1_geo.glb",,"sc3d/bldv_base_storage_2x2.glb",,"sc3d/bldv_construction_{w}x{w}_geo.glb#bldv_construction_state_3_geo",,"sc3d/bldv_construction_{w}x{w}_geo.glb#bldv_construction_state_5_geo","sc3d/ui_base_{w}x{w}_geo.glb","sc3d/bldv_marker_4x4_geo.glb","sc3d/bldv_marker_4x4_geo.glb","Storage",100,"Crate",0,,5,,2,2,,"false",2,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up","Generic Placing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"false",,,5,,5,"true",5,"log_",,,,,,,,,,,"false",,,,,,,,,,"true",300,0,,,"Tap_Wood_Storage",0,0,0,100,,"Tap_wood_storage",,,0,0
,,,,,,,"Coins",80,"Wood",2,,,,,,,,,,,,,1,"sc3d/bldv_wood_storage_lv2_geo.glb",,,,,"sc3d/bldv_construction_upgrade_{w}x{w}_geo.glb",,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_wood_storage",,,,
,,,,,,,"Coins",150,"Wood",15,,,,,,,,,,,,,1,"sc3d/bldv_wood_storage_lv3_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_wood_storage",,,,
,,,,,,,"Coins",1100,"Wood",80,"Clay",30,,,,,,,,,,,1,"sc3d/bldv_wood_storage_lv4_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_wood_storage",,,,
,,,,,,,"Coins",1300,"Wood",170,"Clay",110,,,,,,,,,,,1,"sc3d/bldv_wood_storage_lv5_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_wood_storage",,,,
,,,,,,,"Coins",3700,"Wood",460,"Clay",300,,,,,,,,,,,1,"sc3d/bldv_wood_storage_lv6_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_wood_storage",,,,
,,,,,,,"Coins",6450,"Wood",690,"Clay",450,,,,,,,,,,,1,"sc3d/bldv_wood_storage_lv7_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_wood_storage",,,,
,,,,,,,"Coins",15700,"Plank",610,"Clay",870,,,,,,,,,,,1,"sc3d/bldv_wood_storage_lv8_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_wood_storage",,,,
,,,,,,,"Coins",16800,"Plank",810,"Clay",1100,,,,,,,,,,,1,"sc3d/bldv_wood_storage_lv9_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_wood_storage",,,,
,,,,,,,"Coins",18200,"Plank",1050,"Clay",1350,,,,,,,,,,,1,"sc3d/bldv_wood_storage_lv10_geo.glb",,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_wood_storage",,,,
"House","TID_BUILDING_HOUSE",,"TID_INFO_TITLE_HOME","TID_BUILDING_HOUSE_INFO",,,"Coins",100,"Wood",1,,,,,,,,,"Army",,,,1,"sc3d/bldv_house_lv1_geo.glb",,"sc3d/bldv_base_housing_2x2.glb",,"sc3d/bldv_construction_{w}x{w}_geo.glb#bldv_construction_state_3_geo",,"sc3d/bldv_construction_{w}x{w}_geo.glb#bldv_construction_state_5_geo","sc3d/ui_base_{w}x{w}_geo.glb","sc3d/bldv_marker_4x4_geo.glb","sc3d/bldv_marker_4x4_geo.glb","House",100,"Crate",0,"roof1",5,,2,2,,"false",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up","Generic Placing",,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,"false",,"true",5,,5,"true",5,,,,,,,,,,,,"false",,"pos_effect_chimney","ChimneySmoke",,,,,,,"true",303,32,,,"Tap_Villager_Home",21,-46,-12,100,,"Tap_villager_home",,,350,100
,,,,,,,"Coins",200,"Wood",50,,,,,,,,,,,,,1,"sc3d/bldv_house_lv2_geo.glb",,,,,"sc3d/bldv_construction_upgrade_{w}x{w}_geo.glb",,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_villager_home",,,350,
,,,,,,,"Coins",500,"Clay",70,,,,,,,,,,,,,1,"sc3d/bldv_house_lv3_geo.glb",,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_villager_home",,,345,
,,,,,,,"Coins",800,"Stone",130,"Clay",80,,,,,,,,,,,1,"sc3d/bldv_house_lv4_geo.glb",,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_villager_home",,,345,
,,,,,,,"Coins",1200,"Clay",150,"Stone",100,,,,,,,,,,,1,"sc3d/bldv_house_lv5_geo.glb",,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_villager_home",,,330,
,,,,,,,"Coins",1700,"Stone",180,"Wood",130,,,,,,,,,,,1,"sc3d/bldv_house_lv6_geo.glb",,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_villager_home",,,330,
,,,,,,,"Coins",2400,"Stone",200,"Clay",180,,,,,,,,,,,1,"sc3d/bldv_house_lv7_geo.glb",,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_villager_home",,,320,
,,,,,,,"Coins",3000,"Brick",210,"Wood",410,,,,,,,,,,,1,"sc3d/bldv_house_lv8_geo.glb",,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Generic Pick Up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,"Tap_villager_home",,,320,
