"Name","TID","InfoTID","ToolTipTID","ShopInfoTID","StorageTID","StoreType","Type","Category","HideInInfoScreens","PotionIngredient","Predict","SWF","ExportName","SCW","Scale","Scale2D","ResourceIconExportName","DataGainedAnimation","CollectEffect","DepositEffect","PremiumCurrency","DisplayIndex","HudBarExportName","FillBarExportName","StartingAmount","Red","Green","Blue","CapFullTID","TextRed","TextGreen","TextBlue","RequestInVillageTasks","TaskRequirementPercentage","ReputationRewardPercentage","KnowledgeRewardPercentage","CoinsRewardPercentage","OfferProductCountPercentage","TaskResourceGroup","GemCostPercentage","MarketResource","MarketSellPrice","MarketBuyPrice","ConvertToResource","ConvertValue","NeedsVillageTech","NeedsVillageTech2","NeedsVillageBuilding","NeedsVillageBuildingLevel","NeedsVillageBuilding2","NeedsVillageBuildingLevel2","NeedsNationTech","NeedsNationTech2","NeedsNationBuilding","NeedsNationBuildingLevel","NeedsNationBuilding2","NeedsNationBuildingLevel2","IsCommodity","ProductionType","GraphicsNodeName","Tag1","Tag2","Tag3"
"Clay","TID_RESOURCE_CLAY","TID_RESOURCE_CLAY_INFO","TID_RESOURCE_CLAY_TOOLTIP","TID_RESOURCE_CLAY_SHOP_INFO","TID_STORAGE_CLAY",,,"NoCategory",,"FALSE","TRUE","sc/ui.sc","icon_resource_clay","sc3d/res_clay_geo.glb",100,35,"icon_clay",,,"DepositResource",,2,"resource_container_flash_animation",,,140,20,20,"TID_RESOURCE_CAP_FULL_CLAY",255,253,207,"TRUE",83,46,137,622,83,"ConstructionBasic",25,"Coins",3,14,,,,,,,,,,,,,,,"FALSE",,"clay","ConstructionBasic","ConstructionAny",
"Brick","TID_RESOURCE_BRICK","TID_RESOURCE_BRICK_INFO","TID_RESOURCE_BRICK_TOOLTIP","TID_RESOURCE_BRICK_SHOP_INFO","TID_STORAGE_BRICK",,,"NoCategory",,"FALSE","TRUE","sc/ui.sc","icon_resource_brick","sc3d/res_brick_geo.glb",100,35,"icon_brick",,,"DepositResource",,2,"resource_container_flash_animation",,,140,20,20,"TID_RESOURCE_CAP_FULL_BRICK",255,253,207,"TRUE",37,103,307,1392,37,"ConstructionAdvanced",55,"Coins",6,31,,,,,"BrickYard",1,,,,,,,,,"FALSE",,"brick","ConstructionAdvanced","ConstructionAny",
"PotionIngredient1","TID_RESOURCE_MANDRAKE","TID_RESOURCE_MANDRAKE_INFO","TID_RESOURCE_MANDRAKE_TOOLTIP","TID_RESOURCE_MANDRAKE_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"PotionIngredient",,"TRUE","FALSE","sc/ui.sc","icon_potion_ingredient_mandrake","sc3d/res_berries_geo.glb",100,35,"icon_potion_ingredient_mandrake",,,"DepositResource",,4,,,,240,240,100,"TID_RESOURCE_CAP_FULL_MANDRAKE",255,253,207,,,214,641,2913,,"Default",500,"Coins",13,64,,,,,,,,,,,,,,,"TRUE","House of Potions","mandrake",,,
"PotionIngredient2","TID_RESOURCE_ACORN","TID_RESOURCE_ACORN_INFO","TID_RESOURCE_ACORN_TOOLTIP","TID_RESOURCE_ACORN_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"PotionIngredient",,"TRUE","FALSE","sc/ui.sc","icon_potion_ingredient_acorn","sc3d/res_berries_geo.glb",100,35,"icon_potion_ingredient_acorn",,,"DepositResource",,4,,,,240,240,100,"TID_RESOURCE_CAP_FULL_MANDRAKE",255,253,207,,,214,641,2913,,"Default",500,"Coins",13,64,,,,,,,,,,,,,,,"TRUE","House of Potions","acorn",,,
"PotionIngredient3","TID_RESOURCE_MOSS","TID_RESOURCE_MOSS_INFO","TID_RESOURCE_MOSS_TOOLTIP","TID_RESOURCE_MOSS_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"PotionIngredient",,"TRUE","FALSE","sc/ui.sc","icon_potion_ingredient_moss","sc3d/res_berries_geo.glb",100,35,"icon_potion_ingredient_white_daisy",,,"DepositResource",,4,,,,240,240,100,"TID_RESOURCE_CAP_FULL_MANDRAKE",255,253,207,,,214,641,2913,,"Default",500,"Coins",13,64,,,,,,,,,,,,,,,"TRUE","House of Potions","daisy",,,
"PotionIngredient4","TID_RESOURCE_FOUR_LEAF_CLOVER","TID_RESOURCE_FOUR_LEAF_CLOVER_INFO","TID_RESOURCE_FOUR_LEAF_CLOVER_TOOLTIP","TID_RESOURCE_FOUR_LEAF_CLOVER_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"PotionIngredient",,"TRUE","FALSE","sc/ui.sc","icon_potion_ingredient_four_leaf_clover","sc3d/res_berries_geo.glb",100,35,"icon_potion_ingredient_four_leaf_clover",,,"DepositResource",,4,,,,240,240,100,"TID_RESOURCE_CAP_FULL_MANDRAKE",255,253,207,,,214,641,2913,,"Default",500,"Coins",13,64,,,,,,,,,,,,,,,"TRUE","House of Potions","clover",,,
"PotionIngredient5","TID_RESOURCE_RAVEN_FEATHER","TID_RESOURCE_RAVEN_FEATHER_INFO","TID_RESOURCE_RAVEN_FEATHER_TOOLTIP","TID_RESOURCE_RAVEN_FEATHER_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"PotionIngredient",,"TRUE","FALSE","sc/ui.sc","icon_potion_ingredient_raven_feather","sc3d/res_berries_geo.glb",100,35,"icon_potion_ingredient_raven_feather",,,"DepositResource",,4,,,,240,240,100,"TID_RESOURCE_CAP_FULL_MANDRAKE",255,253,207,,,214,641,2913,,"Default",500,"Coins",13,64,,,,,,,,,,,,,,,"TRUE","House of Potions","raven_feather",,,
"PotionIngredient6","TID_RESOURCE_SEA_SHELL","TID_RESOURCE_SEA_SHELL_INFO","TID_RESOURCE_SEA_SHELL_TOOLTIP","TID_RESOURCE_SEA_SHELL_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"PotionIngredient",,"TRUE","FALSE","sc/ui.sc","icon_potion_ingredient_sea_shell","sc3d/res_berries_geo.glb",100,35,"icon_potion_ingredient_toadstool",,,"DepositResource",,4,,,,240,240,100,"TID_RESOURCE_CAP_FULL_MANDRAKE",255,253,207,,,214,641,2913,,"Default",500,"Coins",13,64,,,,,,,,,,,,,,,"TRUE","House of Potions","toadstool",,,
"Coins","TID_RESOURCE_COINS","TID_RESOURCE_COINS_INFO","TID_RESOURCE_COINS_TOOLTIP","TID_RESOURCE_COINS_SHOP_INFO","TID_STORAGE_TREASURY",,,"ShowOnlyInTreasury",,"FALSE","FALSE","sc/ui.sc","icon_resource_coin",,,,"icon_diamond","resource_coin_animation",,"DepositResource",,1,"resource_container_flash_animation",,0,0,180,80,,255,253,207,,,7,,,,"Default",4,,,,,,,,,,,,,,,,,,"FALSE",,"coins",,,
"Wool","TID_RESOURCE_WOOL","TID_RESOURCE_WOOL_INFO","TID_RESOURCE_WOOL_TOOLTIP","TID_RESOURCE_WOOL_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"RawMaterial",,"FALSE","FALSE","sc/ui.sc","icon_resource_wool",,,,"icon_diamond",,,"DepositResource",,3,,,,200,180,0,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",36,104,310,1406,36,"ClothesProdArea",56,"Coins",6,31,,,,,,,,,,,"SheepPasture",1,,,"TRUE","PRODUCTION AREA","wool","ClothesProdArea",,
"Bread","TID_RESOURCE_BREAD","TID_RESOURCE_BREAD_INFO","TID_RESOURCE_BREAD_TOOLTIP","TID_RESOURCE_BREAD_SHOP_INFO","TID_STORAGE_KITCHEN",,,"ValleyFoodItem",,"FALSE","FALSE","sc/ui.sc","icon_bakery_bread",,100,35,"icon_bread",,,"DepositResource",,4,,,,220,180,,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",11,337,1009,4584,11,"FoodCrafted",182,"Coins",20,101,"Food",8,"TechRecipeBread",,"Windmill",1,,,,,"NationBakery",1,,,"TRUE","BAKERY","bread","FoodCrafted","CraftedAny",
"Wheat","TID_RESOURCE_WHEAT","TID_RESOURCE_WHEAT_INFO","TID_RESOURCE_WHEAT_TOOLTIP","TID_RESOURCE_WHEAT_SHOP_INFO","TID_STORAGE_KITCHEN",,,"RawFoodIngredient",,"FALSE","FALSE","sc/ui.sc","icon_resource_wheat","sc3d/wheat_resource.glb",100,35,"icon_wheat",,,"DepositResource",,3,,,,220,180,,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",28,132,395,1795,28,"FoodProdArea",71,"Coins",8,39,"Food",3,,,,,,,,,"WheatField",1,,,"TRUE","PRODUCTION AREA","wheat","FoodProdArea",,
"BerryPie","TID_RESOURCE_BERRYPIE","TID_RESOURCE_BERRYPIE_INFO","TID_RESOURCE_BERRYPIE_TOOLTIP","TID_RESOURCE_BERRYPIE_SHOP_INFO","TID_STORAGE_KITCHEN",,,"ValleyFoodItem",,"FALSE","FALSE","sc/ui.sc","icon_bakery_berry_pie","sc3d/res_berries_geo.glb",100,35,"bakery_pie_icon",,,"DepositResource",,5,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",4,989,2965,13476,4,"FoodCrafted",534,"Coins",59,296,"Food",25,"TechRecipeBerryPie",,,,,,,,"NationBakery",1,,,"TRUE","BAKERY","berry_pie","FoodCrafted","CraftedAny",
"BerryCake","TID_RESOURCE_BERRYCAKE","TID_RESOURCE_BERRYCAKE_INFO","TID_RESOURCE_BERRYCAKE_TOOLTIP","TID_RESOURCE_BERRYCAKE_SHOP_INFO","TID_STORAGE_KITCHEN",,,"ValleyFoodItem",,"FALSE","FALSE","sc/ui.sc","icon_bakery_berry_cake","sc3d/res_berries_geo.glb",100,35,"bakery_berry_cake_icon",,,"DepositResource",,5,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",2,1857,5570,25316,2,"FoodCrafted",1004,"Coins",111,557,"Food",46,"TechRecipeBerryCake",,,,,,,,"NationBakery",3,"NationSugarField",1,"TRUE","BAKERY","berry_cake","FoodCrafted","CraftedAny",
"FountainBoost","TID_RESOURCE_FOUNTAIN_BOOST","TID_RESOURCE_FOUNTAIN_BOOST_INFO","TID_RESOURCE_FOUNTAIN_BOOST_TOOLTIP","TID_RESOURCE_FOUNTAIN_BOOST_SHOP_INFO",,,,"NoCategory","TRUE","FALSE","FALSE","sc/ui.sc","icon_speed_up",,100,35,"icon_speed_up",,,"DepositResource",,0,,,,240,240,100,,255,253,207,,,,,,,"Default",50,,,,,,,,,,,,,,,,,,"FALSE",,"fountain_boost",,,
"Fish","TID_RESOURCE_FISH","TID_RESOURCE_FISH_INFO","TID_RESOURCE_FISH_TOOLTIP","TID_RESOURCE_FISH_SHOP_INFO","TID_STORAGE_KITCHEN",,,"RawFoodIngredient",,"FALSE","FALSE","sc/ui.sc","icon_resource_fish",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",16,237,711,3230,16,"FoodProdArea",128,"Coins",14,71,"Food",6,,,,,,,,,"NationFishingSpot",1,,,"TRUE","PRODUCTION AREA","fish","FoodProdArea",,
"Cotton","TID_RESOURCE_COTTON","TID_RESOURCE_COTTON_INFO","TID_RESOURCE_COTTON_TOOLTIP","TID_RESOURCE_COTTON_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"RawMaterial",,"FALSE","FALSE","sc/ui.sc","icon_resource_cotton",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",25,147,439,1993,25,"ClothesProdArea",79,"Coins",9,44,,,,,,,,,,,"NationCottonField",1,,,"TRUE","PRODUCTION AREA","cotton","ClothesProdArea",,
"Indigo","TID_RESOURCE_INDIGO","TID_RESOURCE_INDIGO_INFO","TID_RESOURCE_INDIGO_TOOLTIP","TID_RESOURCE_INDIGO_SHOP_INFO","TID_STORAGE_WAREHOUSE",,,"RawMaterial",,"FALSE","FALSE","sc/ui.sc","icon_resource_indigo",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",25,149,447,2030,25,"ClothesProdArea",80,"Coins",9,45,,,,,,,,,,,"NationIndigoField",1,,,"TRUE","PRODUCTION AREA","indigo","ClothesProdArea",,
"Sugar","TID_RESOURCE_SUGAR","TID_RESOURCE_SUGAR_INFO","TID_RESOURCE_SUGAR_TOOLTIP","TID_RESOURCE_SUGAR_SHOP_INFO","TID_STORAGE_KITCHEN",,,"RawFoodIngredient",,"FALSE","FALSE","sc/ui.sc","icon_resource_sugar",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",20,186,558,2534,20,"FoodProdArea",100,"Coins",11,56,"Food",5,,,,,,,,,"NationSugarField",1,,,"TRUE","PRODUCTION AREA","sugar","FoodProdArea",,
"Salt","TID_RESOURCE_SALT","TID_RESOURCE_SALT_INFO","TID_RESOURCE_SALT_TOOLTIP","TID_RESOURCE_SALT_SHOP_INFO","TID_STORAGE_KITCHEN",,,"RawFoodIngredient",,"FALSE","FALSE","sc/ui.sc","icon_resource_salt",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",26,145,434,1969,26,"FoodProdArea",78,"Coins",9,43,"Food",4,,,,,,,,,"NationSaltField",1,,,"TRUE","PRODUCTION AREA","salt","FoodProdArea",,
"SugarApple","TID_RESOURCE_SUGARAPPLE","TID_RESOURCE_SUGARAPPLE_INFO","TID_RESOURCE_SUGARAPPLE_TOOLTIP","TID_RESOURCE_SUGARAPPLE_SHOP_INFO","TID_STORAGE_KITCHEN",,,"ValleyFoodItem",,"FALSE","FALSE","sc/ui.sc","icon_bakery_sugar_apple",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",7,586,1758,7990,7,"FoodCrafted",317,"Coins",35,176,"Food",15,"TechRecipeSugarApple",,"AppleTreeGrove",1,,,,,"NationSugarField",1,"NationBakery",2,"TRUE","BAKERY","sugar_apple","FoodCrafted","CraftedAny",
"HoneyCookie","TID_RESOURCE_HONEYCOOKIE","TID_RESOURCE_HONEYCOOKIE_INFO","TID_RESOURCE_HONEYCOOKIE_TOOLTIP","TID_RESOURCE_HONEYCOOKIE_SHOP_INFO","TID_STORAGE_KITCHEN",,,"ValleyFoodItem",,"FALSE","FALSE","sc/ui.sc","icon_bakery_honey_cookie",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",7,593,1778,8078,7,"FoodCrafted",320,"Coins",36,178,"Food",15,"TechRecipeHoneyCookie",,"Beehive",1,,,,,"NationBakery",1,,,"TRUE","BAKERY","honey_cookie","FoodCrafted","CraftedAny",
"FishPie","TID_RESOURCE_FISHPIE","TID_RESOURCE_FISHPIE_INFO","TID_RESOURCE_FISHPIE_TOOLTIP","TID_RESOURCE_FISHPIE_SHOP_INFO","TID_STORAGE_KITCHEN",,,"ValleyFoodItem",,"FALSE","FALSE","sc/ui.sc","icon_bakery_fish_pie",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",3,1114,3342,15190,3,"FoodCrafted",602,"Coins",67,334,"Food",28,"TechRecipeFishPie",,,,,,,,"NationFishingSpot",1,"NationBakery",2,"TRUE","BAKERY","fish_pie","FoodCrafted","CraftedAny",
"ApplePie","TID_RESOURCE_APPLEPIE","TID_RESOURCE_APPLEPIE_INFO","TID_RESOURCE_APPLEPIE_TOOLTIP","TID_RESOURCE_APPLEPIE_SHOP_INFO","TID_STORAGE_KITCHEN",,,"ValleyFoodItem",,"FALSE","FALSE","sc/ui.sc","icon_bakery_apple_pie",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",4,922,2765,12568,4,"FoodCrafted",498,"Coins",55,276,"Food",23,"TechRecipeApplePie",,"AppleTreeGrove",1,,,,,"NationBakery",2,,,"TRUE","BAKERY","apple_pie","FoodCrafted","CraftedAny",
"CakeRoyale","TID_RESOURCE_CAKEROYALE","TID_RESOURCE_CAKEROYALE_INFO","TID_RESOURCE_CAKEROYALE_TOOLTIP","TID_RESOURCE_CAKEROYALE_SHOP_INFO","TID_STORAGE_KITCHEN",,,"ValleyFoodItem",,"FALSE","FALSE","sc/ui.sc","icon_bakery_royal_cake",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",1,6110,18328,83309,1,"FoodCrafted",3302,"Coins",367,1833,"Food",150,"TechRecipeCakeRoyale","TechRecipeSweetHerring","JuicePress",1,,,"FishingSpotCount1",,"NationBakery",3,"NationCannery",2,"TRUE","BAKERY","cake_royale","FoodCrafted","CraftedAny",
"SaltedFish","TID_RESOURCE_SALTEDFISH","TID_RESOURCE_SALTEDFISH_INFO","TID_RESOURCE_SALTEDFISH_TOOLTIP","TID_RESOURCE_SALTEDFISH_SHOP_INFO","TID_STORAGE_KITCHEN",,,"ValleyCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_pottery_salted_fish",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",2,1583,4748,21578,2,"FoodCrafted",855,"Coins",95,475,,,"TechRecipeSaltedFish",,"PotteryWorkshop",1,,,,,"NationFishingSpot",1,"NationCannery",1,"TRUE","POTTERY CANNING","salted_fish","FoodCrafted","CraftedAny",
"SaltPot","TID_RESOURCE_SALTPOT","TID_RESOURCE_SALTPOT_INFO","TID_RESOURCE_SALTPOT_TOOLTIP","TID_RESOURCE_SALTPOT_SHOP_INFO","TID_STORAGE_KITCHEN",,,"ValleyCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_pottery_salt",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",3,1224,3672,16687,3,"FoodCrafted",661,"Coins",73,367,,,"TechRecipeSaltPot",,"PotteryWorkshop",1,,,,,"NationSaltField",1,"NationCannery",1,"TRUE","POTTERY CANNING","salt","FoodCrafted","CraftedAny",
"HoneyPot","TID_RESOURCE_HONEYPOT","TID_RESOURCE_HONEYPOT_INFO","TID_RESOURCE_HONEYPOT_TOOLTIP","TID_RESOURCE_HONEYPOT_SHOP_INFO","TID_STORAGE_KITCHEN",,,"ValleyCraftedItem",,"FALSE","FALSE","sc/ui.sc","icon_pottery_honey",,100,35,"icon_egg",,,"DepositResource",,2,,,,240,240,100,"TID_RESOURCE_CAP_FULL_FOOD",255,253,207,"TRUE",4,933,2797,12710,4,"FoodCrafted",504,"Coins",56,280,,,"TechRecipeHoneyPot",,"PotteryWorkshop",1,"Beehive",1,,,"NationCannery",1,,,"TRUE","POTTERY CANNING","honeypot","FoodCrafted","CraftedAny",
