"Name","TID","NPC","Cart","Scale","CollisionShape","SpawnToBuilding","SpawnToObstacle","SpawnToNation","MaxCompletions","CooldownSeconds","MinNationLevel","MaxNationLevel","BuildingNeeded","BuildingLevelNeeded","TechNeeded","OtherChallengeNeeded","OtherChallengeStagesCompleteNeeded","Stage","AvailableTID","AvailableSCW","AvailableIconSWF","AvailableIconExportName","AvailableSeconds","AvailableBGExportName","ActiveTID","ActiveSCW","ActiveIconSWF","ActiveIconExportName","ActiveSeconds","ActiveBGExportName","TaskCount","CoinTaskMinPercentage","CoinTaskMaxPercentage","RequiredAmountPercentage","CoinRewardSizePercentage","KnowledgeRewardSizePercentage","ReputationRewardSizePercentage","ResourceOrTag1","ResourceOrTag2","ResourceOrTag3","WorkerJobSeconds","WorkerJobTID","WorkerJobBGExportName","WorkerJobProfession","WorkerJobRewardData1","WorkerJobRewardAmount1","WorkerJobRewardData2","WorkerJobRewardAmount2","WorkerJobRewardReputation","WorkerJobRewardNationKnowledge","WinTID","WinSCW","WinIconSWF","WinIconExportName","WinBGExportName","LoseTID","LoseSCW","LoseIconSWF","LoseIconExportName","LoseBGExportName","ReviewSeconds","RewardPerk","RewardPerkSeconds","RewardNationKnowledge"
,,,,,,,,,,,,,,,,,,3,,,,,,,"TID_CHALLENGE003_SHEEPESCAPE_STAGE3","sc3d/valley_event_sheep_escape.glb#stage3","sc/npc_characters.sc","emote_shepherd_idle",86400,"bg_image_valley_event_lost_sheep_3",,,,,,,,,,,21600,"TID_CHALLENGE003_SHEEPESCAPE_STAGE3_JOB_01","bg_image_village_library","Researcher","Coins",209,,,15,,,,,,,"TID_CHALLENGE003_SHEEPESCAPE_LOSE_STAGE3","sc3d/valley_event_sheep_escape.glb#stage3","sc/npc_characters.sc","emote_shepherd_wave","bg_image_valley_event_lost_sheep_3",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE003_SHEEPESCAPE_STAGE3_JOB_02","bg_image_valley_background",,"Wool",24,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE003_SHEEPESCAPE_STAGE3_JOB_03","bg_image_valley_background",,"Wool",24,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,"TID_CHALLENGE003_SHEEPESCAPE_STAGE3_JOB_04","bg_image_valley_background",,"Wool",12,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,"TID_CHALLENGE003_SHEEPESCAPE_STAGE3_JOB_05","bg_image_valley_background",,"Wool",12,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,"TID_CHALLENGE003_SHEEPESCAPE_STAGE3_JOB_06","bg_image_valley_background",,"Wool",12,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,"TID_CHALLENGE003_SHEEPESCAPE_STAGE3_JOB_07","bg_image_valley_background",,"Wool",6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,"TID_CHALLENGE003_SHEEPESCAPE_STAGE3_JOB_08","bg_image_valley_background",,"Wool",6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,"TID_CHALLENGE003_SHEEPESCAPE_STAGE3_JOB_09","bg_image_valley_background",,"Wool",6,,,,,,,,,,,,,,,,,,
"Challenge004_PlaturtlePancake","TID_CHALLENGE004_PLATURTLEPANCAKE_TITLE","Librarian","ChallengeCart",100,"Academy",,,"ChallengeSiteMountain2",,1209600,2,,,,,,,1,"TID_CHALLENGE004_PLATURTLEPANCAKE_INTRO","sc3d/valley_event_platurtle.glb#stage1","sc/npc_characters.sc","emote_librarian_wave",259200,"bg_image_valley_event_platurtle_pancake","TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE1","sc3d/valley_event_platurtle.glb#stage1","sc/npc_characters.sc","emote_librarian_idle",86400,"bg_image_valley_event_platurtle_pancake",30,100,100,80,100,100,100,"ConstructionBasic",,,,,,,,,,,,,"TID_CHALLENGE004_PLATURTLEPANCAKE_WIN","sc3d/valley_event_platurtle.glb#stage4","sc/npc_characters.sc","emote_librarian_wave","bg_image_valley_event_platurtle_pancake","TID_CHALLENGE004_PLATURTLEPANCAKE_LOSE_STAGE1","sc3d/valley_event_platurtle.glb#stage1","sc/npc_characters.sc","emote_librarian_wave","bg_image_valley_event_platurtle_pancake",86400,,,500
,,,,,,,,,,,,,,,,,,2,,,,,,,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE2","sc3d/valley_event_platurtle.glb#stage2","sc/npc_characters.sc","emote_librarian_idle",86400,"bg_image_valley_event_platurtle_pancake",,,,,,,,,,,21600,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE2_JOB_01","bg_image_valley_construction","Builder","Coins",209,,,15,,,,,,,"TID_CHALLENGE004_PLATURTLEPANCAKE_LOSE_STAGE2","sc3d/valley_event_platurtle.glb#stage2","sc/npc_characters.sc","emote_librarian_wave","bg_image_valley_event_platurtle_pancake",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10800,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE2_JOB_02","bg_image_valley_construction","Builder","Coins",105,,,8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10800,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE2_JOB_03","bg_image_valley_construction","Builder","Coins",105,,,8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE2_JOB_04","bg_image_valley_construction","Builder","Coins",70,,,5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE2_JOB_05","bg_image_valley_construction","Builder","Coins",70,,,5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE2_JOB_06","bg_image_valley_construction","Builder","Coins",35,,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3,,,,,,,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE3","sc3d/valley_event_platurtle.glb#stage3","sc/npc_characters.sc","emote_librarian_idle",86400,"bg_image_valley_event_platurtle_pancake",,,,,,,,,,,10800,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE3_JOB_01","bg_image_valley_background",,"Coins",105,,,8,,,,,,,"TID_CHALLENGE004_PLATURTLEPANCAKE_LOSE_STAGE3","sc3d/valley_event_platurtle.glb#stage3","sc/npc_characters.sc","emote_librarian_wave","bg_image_valley_event_platurtle_pancake",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10800,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE3_JOB_02","bg_image_valley_background",,"Coins",105,,,8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10800,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE3_JOB_03","bg_image_valley_background",,"Coins",105,,,8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10800,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE3_JOB_04","bg_image_valley_background",,"Coins",105,,,8,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE3_JOB_05","bg_image_valley_background",,"Coins",35,,,3,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3600,"TID_CHALLENGE004_PLATURTLEPANCAKE_STAGE3_JOB_06","bg_image_valley_background",,"Coins",35,,,3,,,,,,,,,,,,,,,
"Challenge005_RoadBuilding","TID_CHALLENGE005_ROADBUILDING_TITLE","Builder","ChallengeCart",100,"Academy",,,"ChallengeSiteTailor",,1209600,3,,,,,,,1,"TID_CHALLENGE005_ROADBUILDING_INTRO","sc3d/valley_event_road_workin.glb#stage1","sc/npc_characters.sc","emote_builder_wave",259200,"bg_image_valley_keep_valley_beautiful_1","TID_CHALLENGE005_ROADBUILDING_STAGE1","sc3d/valley_event_road_workin.glb#stage1","sc/npc_characters.sc","emote_builder_idle",86400,"bg_image_valley_keep_valley_beautiful_1",30,100,100,80,100,100,100,"Clay","Brick","Stone",,,,,,,,,,,"TID_CHALLENGE005_ROADBUILDING_WIN","sc3d/valley_event_road_workin.glb#stage3","sc/npc_characters.sc","emote_builder_wave","bg_image_valley_keep_valley_beautiful_1","TID_CHALLENGE005_ROADBUILDING_LOSE_STAGE1","sc3d/valley_event_road_workin.glb#stage1","sc/npc_characters.sc","emote_builder_wave","bg_image_valley_keep_valley_beautiful_1",86400,,,400
,,,,,,,,,,,,,,,,,,2,,,,,,,"TID_CHALLENGE005_ROADBUILDING_STAGE2","sc3d/valley_event_road_workin.glb#stage2","sc/npc_characters.sc","emote_builder_idle",86400,"bg_image_valley_keep_valley_beautiful_1",,,,,,,,,,,28800,"TID_CHALLENGE005_ROADBUILDING_STAGE2_JOB_01","bg_image_village_library","Researcher","Coins",279,,,20,,,,,,,"TID_CHALLENGE005_ROADBUILDING_LOSE_STAGE2","sc3d/valley_event_road_workin.glb#stage2","sc/npc_characters.sc","emote_builder_wave","bg_image_valley_keep_valley_beautiful_1",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43200,"TID_CHALLENGE005_ROADBUILDING_STAGE2_JOB_02","bg_image_village_resource_clay","Claydigger","Coins",418,,,31,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE005_ROADBUILDING_STAGE2_JOB_03","bg_image_village_resource_stone","Stonemason","Coins",279,,,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE005_ROADBUILDING_STAGE2_JOB_04","bg_image_village_resource_stone","Stonemason","Coins",279,,,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE005_ROADBUILDING_STAGE2_JOB_05","bg_image_valley_construction","Builder","Coins",139,,,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE005_ROADBUILDING_STAGE2_JOB_06","bg_image_village_resource_clay","Claydigger","Coins",139,,,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE005_ROADBUILDING_STAGE2_JOB_07","bg_image_village_resource_clay","Claydigger","Coins",139,,,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE005_ROADBUILDING_STAGE2_JOB_08","bg_image_village_resource_clay","Claydigger","Coins",139,,,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE005_ROADBUILDING_STAGE2_JOB_09","bg_image_valley_construction","Builder","Coins",139,,,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE005_ROADBUILDING_STAGE2_JOB_10","bg_image_village_resource_stone","Stonemason","Coins",139,,,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,"TID_CHALLENGE005_ROADBUILDING_STAGE2_JOB_11","bg_image_village_resource_stone","Stonemason","Coins",70,,,5,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200,"TID_CHALLENGE005_ROADBUILDING_STAGE2_JOB_12","bg_image_village_resource_stone","Stonemason","Coins",70,,,5,,,,,,,,,,,,,,,
"Challenge006_BrokenCart","TID_CHALLENGE006_BROKENCART_TITLE","Builder","ChallengeCart",100,"Academy",,,"ChallengeSiteTailor",,1209600,3,,,,,"Challenge005_RoadBuilding",1,1,"TID_CHALLENGE006_BROKENCART_INTRO","sc3d/valley_event_broken_cart.glb#stage1","sc/npc_characters.sc","emote_builder_wave",259200,"bg_image_valley_event_trippy_road_2","TID_CHALLENGE006_BROKENCART_STAGE1","sc3d/valley_event_broken_cart.glb#stage1","sc/npc_characters.sc","emote_builder_idle",86400,"bg_image_valley_event_trippy_road_2",24,100,100,60,100,100,100,"Wood","Plank",,,,,,,,,,,,"TID_CHALLENGE006_BROKENCART_WIN","sc3d/valley_event_broken_cart.glb#stage4","sc/npc_characters.sc","emote_builder_wave","bg_image_valley_event_trippy_road_2","TID_CHALLENGE006_BROKENCART_LOSE_STAGE1","sc3d/valley_event_broken_cart.glb#stage1","sc/npc_characters.sc","emote_builder_wave","bg_image_valley_event_trippy_road_2",86400,,,300
,,,,,,,,,,,,,,,,,,2,,,,,,,"TID_CHALLENGE006_BROKENCART_STAGE2","sc3d/valley_event_broken_cart.glb#stage2","sc/npc_characters.sc","emote_builder_idle",86400,"bg_image_valley_event_trippy_road_2",,,,,,,,,,,43200,"TID_CHALLENGE006_BROKENCART_STAGE2_JOB_01","bg_image_valley_construction","Builder","Coins",418,,,31,,,,,,,"TID_CHALLENGE006_BROKENCART_LOSE_STAGE2","sc3d/valley_event_broken_cart.glb#stage2","sc/npc_characters.sc","emote_builder_wave","bg_image_valley_event_trippy_road_2",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43200,"TID_CHALLENGE006_BROKENCART_STAGE2_JOB_02","bg_image_valley_construction","Builder","Coins",418,,,31,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE006_BROKENCART_STAGE2_JOB_03","bg_image_valley_construction","Builder","Coins",279,,,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE006_BROKENCART_STAGE2_JOB_04","bg_image_village_resource_clay","Claydigger","Coins",279,,,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE006_BROKENCART_STAGE2_JOB_05","bg_image_village_resource_wood","Lumberjack","Coins",139,,,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE006_BROKENCART_STAGE2_JOB_06","bg_image_village_resource_wood","Lumberjack","Coins",139,,,10,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3,,,,,,,"TID_CHALLENGE006_BROKENCART_STAGE3","sc3d/valley_event_broken_cart.glb#stage3","sc/npc_characters.sc","emote_builder_idle",86400,"bg_image_valley_event_trippy_road_2",24,100,100,60,100,100,100,"CraftedAny",,,,,,,,,,,,,,,,,,"TID_CHALLENGE006_BROKENCART_LOSE_STAGE3","sc3d/valley_event_broken_cart.glb#stage3","sc/npc_characters.sc","emote_builder_wave","bg_image_valley_event_trippy_road_2",,,,
"Challenge007_Ruins01","TID_CHALLENGE007_RUINS01_TITLE","Librarian","ChallengeCart",100,"Academy",,,"ChallengeSiteGrandMonument",,1209600,3,,"NationMonument01",5,,,,1,"TID_CHALLENGE007_RUINS01_INTRO","sc3d/valley_event_ancient_ruins.glb#stage1","sc/npc_characters.sc","emote_librarian_wave",259200,"bg_image_valley_guilds","TID_CHALLENGE007_RUINS01_STAGE1","sc3d/valley_event_ancient_ruins.glb#stage1","sc/npc_characters.sc","emote_librarian_idle",86400,"bg_image_valley_guilds",,,,,,,,,,,43200,"TID_CHALLENGE007_RUINS01_STAGE1_JOB_01","bg_image_village_library","Researcher","Science",84,,,,,"TID_CHALLENGE007_RUINS01_WIN","sc3d/valley_event_ancient_ruins.glb#stage4","sc/npc_characters.sc","emote_librarian_wave","bg_image_valley_guilds","TID_CHALLENGE007_RUINS01_LOSE_STAGE1","sc3d/valley_event_ancient_ruins.glb#stage1","sc/npc_characters.sc","emote_librarian_wave","bg_image_valley_guilds",86400,,,500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43200,"TID_CHALLENGE007_RUINS01_STAGE1_JOB_02","bg_image_village_resource_clay","Claydigger","Coins",418,,,31,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE007_RUINS01_STAGE1_JOB_03","bg_image_village_resource_stone","Stonemason","Coins",279,,,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28800,"TID_CHALLENGE007_RUINS01_STAGE1_JOB_04","bg_image_village_resource_clay","Claydigger","Coins",279,,,20,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14400,"TID_CHALLENGE007_RUINS01_STAGE1_JOB_05","bg_image_village_resource_wood","Lumberjack","Coins",139,,,10,,,,,,,,,,,,,,,
