"Name","TID","InfoTID","Speed","HardcodedArrival","TownHallLevel","RequiredBuilding","LevelUpXp","NameSet","GfxId","Scale","CollisionShape","IsVillager","DefaultSkin","DefaultSkinVariation","BaseModifiers","BoostEffect","BoostMoveEffect","IconSWF","IconExportName","IsTaskProvider","NPC","Speciality","SpecialityLevel","TouchEffect"
"karl_worker_03","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Male","villager_karl",100,"Resident","true",,,"karl_race1_body_03","Boosted","Boosted_move",,,,,,,"Tap_villager_male"
,,,,,,,,,,,,,,,"karl_outf_top_03",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_bottom_03",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_belt_02",,,,,,,,,
,,,,,,,,,,,,,,,"karl_race1_hair_03",,,,,,,,,
"carolina_worker_04","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Female","villager_carolina",100,"Resident","true",,,"carolina_race1_body_04","Boosted","Boosted_move",,,,,,,"Tap_villager_female"
,,,,,,,,,,,,,,,"carolina_outf_top_04",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_arm_00",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_bottom_04",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_bag_00",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_race1_hair_04",,,,,,,,,
"karl_worker_04","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Male","villager_karl",108,"Resident","true",,,"karl_race1_body_04","Boosted","Boosted_move",,,,,,,"Tap_villager_male"
,,,,,,,,,,,,,,,"karl_outf_top_04",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_arm_04",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_bottom_04",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_belt_04",,,,,,,,,
,,,,,,,,,,,,,,,"karl_race1_hair_04",,,,,,,,,
"carolina_worker_05","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Female","villager_carolina",100,"Resident","true",,,"carolina_race2_body_00","Boosted","Boosted_move",,,,,,,"Tap_villager_female"
,,,,,,,,,,,,,,,"carolina_outf_top_05",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_arm_01",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_bottom_05",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_race2_hair_00",,,,,,,,,
"karl_worker_00","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Male","villager_karl",100,"Resident","true",,,"karl_race1_body_00","Boosted","Boosted_move",,,,,,,"Tap_villager_male"
,,,,,,,,,,,,,,,"karl_outf_top_00",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_arm_00",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_belt_00",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_bottom_00",,,,,,,,,
,,,,,,,,,,,,,,,"karl_race1_hair_00",,,,,,,,,
"carolina_worker_02","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Female","villager_carolina",105,"Resident","true",,,"carolina_race1_body_02","Boosted","Boosted_move",,,,,,,"Tap_villager_female"
,,,,,,,,,,,,,,,"carolina_outf_top_02",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_arm_02",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_bottom_02",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_race1_hair_02",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_bag_01",,,,,,,,,
"NationWorker","TID_NATION_WORKER","TID_NATION_WORKER_INFO",140,,,,,"Male","villager_karl",100,"Resident","false",,,,"Boosted","Boosted_move",,,,,,,"Tap_villager_male"
"VillageTrader","TID_NPC_VILLAGE_TRADER","TID_VILLAGE_TRADER_INFO",140,,,,,,"village_trader",100,"Resident","false",,,,,,,,,,,,
"carolina_worker_00","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Female","villager_carolina",105,"Resident","true","skin_default",0,"carolina_body_FTUE","Boosted","Boosted_move",,,,,,,"Tap_villager_female"
,,,,,,,,,,,,,,,"carolina_outf_top_00",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_arm_00",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_bottom_00",,,,,,,,,
"BirddogWorker","TID_BIRDOG","TID_BIRDOG_INFO",140,,,,,,"spirit_birddog",100,"Resident","false",,,,,,"sc/npc_characters.sc","spirit_birdog_unhappy","TRUE","Birdog",,,
"karl_worker_05","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Male","villager_karl",100,"Resident","true",,,"karl_race2_body_00","Boosted","Boosted_move",,,,,,,"Tap_villager_male"
,,,,,,,,,,,,,,,"karl_outf_top_05",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_arm_06",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_belt_05",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_bottom_05",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_race2_hair_00",,,,,,,,,
"carolina_worker_06","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Female","villager_carolina",100,"Resident","true",,,"carolina_race2_body_01","Boosted","Boosted_move",,,,,,,"Tap_villager_female"
,,,,,,,,,,,,,,,"carolina_outf_top_06",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_bottom_06",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_race2_hair_01",,,,,,,,,
"karl_worker_06","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Male","villager_karl",100,"Resident","true",,,"karl_race2_body_01","Boosted","Boosted_move",,,,,,,"Tap_villager_male"
,,,,,,,,,,,,,,,"karl_outf_top_06",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_bottom_06",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_belt_06",,,,,,,,,
,,,,,,,,,,,,,,,"karl_race2_hair_02",,,,,,,,,
"carolina_worker_07","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Female","villager_carolina",100,"Resident","true",,,"carolina_race2_body_02","Boosted","Boosted_move",,,,,,,"Tap_villager_female"
,,,,,,,,,,,,,,,"carolina_outf_top_07",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_arm_05",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_bottom_07",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_race2_hair_02",,,,,,,,,
"karl_worker_07","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Male","villager_karl",100,"Resident","true",,,"karl_race2_body_02","Boosted","Boosted_move",,,,,,,"Tap_villager_male"
,,,,,,,,,,,,,,,"karl_outf_top_07",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_belt_07",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_arm_06",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_bottom_07",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_race2_hair_01",,,,,,,,,
"carolina_worker_08","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Female","villager_carolina",100,"Resident","true",,,"carolina_race2_body_03","Boosted","Boosted_move",,,,,,,"Tap_villager_female"
,,,,,,,,,,,,,,,"carolina_outf_top_08",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_arm_06",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_bottom_08",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_race2_hair_03",,,,,,,,,
"karl_worker_08","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Male","villager_karl",100,"Resident","true",,,"karl_race2_body_03","Boosted","Boosted_move",,,,,,,"Tap_villager_male"
,,,,,,,,,,,,,,,"karl_outf_top_08",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_bottom_08",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_belt_00",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_arm_03",,,,,,,,,
,,,,,,,,,,,,,,,"karl_race2_hair_04",,,,,,,,,
"carolina_worker_09","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Female","villager_carolina",100,"Resident","true",,,"carolina_race2_body_04","Boosted","Boosted_move",,,,,,,"Tap_villager_female"
,,,,,,,,,,,,,,,"carolina_outf_top_09",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_bottom_09",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_race2_hair_04",,,,,,,,,
"karl_worker_09","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Male","villager_karl",100,"Resident","true",,,"karl_race2_body_04","Boosted","Boosted_move",,,,,,,"Tap_villager_male"
,,,,,,,,,,,,,,,"karl_outf_top_09",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_arm_02",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_belt_06",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_bottom_09",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_race2_hair_03",,,,,,,,,
"carolina_worker_10","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Female","villager_carolina",100,"Resident","true",,,"carolina_race3_body_00","Boosted","Boosted_move",,,,,,,"Tap_villager_female"
,,,,,,,,,,,,,,,"carolina_outf_top_10",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_arm_07",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_bottom_10",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_bag_01",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_race3_hair_00",,,,,,,,,
"karl_worker_10","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Male","villager_karl",100,"Resident","true",,,"carolina_race3_body_00","Boosted","Boosted_move",,,,,,,"Tap_villager_male"
,,,,,,,,,,,,,,,"karl_outf_top_10",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_belt_01",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_bottom_10",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_race3_hair_00",,,,,,,,,
"carolina_worker_11","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Female","villager_carolina",100,"Resident","true",,,"carolina_race3_body_01","Boosted","Boosted_move",,,,,,,"Tap_villager_female"
,,,,,,,,,,,,,,,"carolina_outf_top_11",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_bottom_11",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_race3_hair_01",,,,,,,,,
"karl_worker_11","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Male","villager_karl",100,"Resident","true",,,"carolina_race3_body_01","Boosted","Boosted_move",,,,,,,"Tap_villager_male"
,,,,,,,,,,,,,,,"karl_outf_top_11",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_belt_03",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_bottom_11",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_race3_hair_01",,,,,,,,,
"carolina_worker_12","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Female","villager_carolina",100,"Resident","true",,,"carolina_race3_body_02","Boosted","Boosted_move",,,,,,,"Tap_villager_female"
,,,,,,,,,,,,,,,"carolina_outf_top_12",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_arm_08",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_bottom_12",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_race3_hair_02",,,,,,,,,
"karl_worker_12","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Male","villager_karl",100,"Resident","true",,,"carolina_race3_body_02","Boosted","Boosted_move",,,,,,,"Tap_villager_male"
,,,,,,,,,,,,,,,"karl_outf_top_12",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_belt_02",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_bottom_12",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_race3_hair_02",,,,,,,,,
"carolina_worker_13","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Female","villager_carolina",100,"Resident","true",,,"carolina_race3_body_03","Boosted","Boosted_move",,,,,,,"Tap_villager_female"
,,,,,,,,,,,,,,,"carolina_outf_top_13",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_bottom_13",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_race3_hair_03",,,,,,,,,
"karl_worker_13","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Male","villager_karl",100,"Resident","true",,,"carolina_race3_body_03","Boosted","Boosted_move",,,,,,,"Tap_villager_male"
,,,,,,,,,,,,,,,"karl_outf_top_13",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_arm_00",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_belt_05",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_bottom_13",,,,,,,,,
,,,,,,,,,,,,,,,"karl_race3_hair_03",,,,,,,,,
"carolina_worker_14","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Female","villager_carolina",100,"Resident","true",,,"carolina_race3_body_04","Boosted","Boosted_move",,,,,,,"Tap_villager_female"
,,,,,,,,,,,,,,,"carolina_outf_top_14",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_bottom_14",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_race3_hair_04",,,,,,,,,
"karl_worker_14","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Male","villager_karl",100,"Resident","true",,,"carolina_race3_body_04","Boosted","Boosted_move",,,,,,,"Tap_villager_male"
,,,,,,,,,,,,,,,"karl_outf_top_14",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_belt_06",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_bottom_14",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_race3_hair_04",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_arm_06",,,,,,,,,
"carolina_worker_15","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Female","villager_carolina",100,"Resident","true",,,"carolina_race1_body_01","Boosted","Boosted_move",,,,,,,"Tap_villager_female"
,,,,,,,,,,,,,,,"carolina_outf_top_15",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_bottom_15",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_arm_05",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_race1_hair_04",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_outf_bag_02",,,,,,,,,
"karl_worker_15","TID_PEASANT","TID_PEASANT_INFO",140,,,,,"Male","villager_karl",100,"Resident","true",,,"karl_race1_body_00","Boosted","Boosted_move",,,,,,,"Tap_villager_male"
,,,,,,,,,,,,,,,"karl_outf_top_15",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_bottom_14",,,,,,,,,
,,,,,,,,,,,,,,,"carolina_race1_hair_04",,,,,,,,,
,,,,,,,,,,,,,,,"karl_outf_belt_03",,,,,,,,,
"TempWorker","TID_WORKER_GENERALIST","TID_WORKER_GENERALIST_INFO",140,,,,,,"villager_temp_worker",100,"Resident","false",,,"temp_worker_color","Boosted","Boosted_move",,,,,"Lumberjacking",5,"Tap_villager_male"
,,,,,,,,,,,,,,,,,,,,,,"Farming",5,
,,,,,,,,,,,,,,,,,,,,,,"Stonemasonry",5,
,,,,,,,,,,,,,,,,,,,,,,"Researching",5,
,,,,,,,,,,,,,,,,,,,,,,"Construction",5,
,,,,,,,,,,,,,,,,,,,,,,"Claydigging",5,
