"Name","TID","RequiredData","RequiredAmount","PrimaryReward","PrimaryAmount","SecondaryReward","SecondaryAmount","NationKnowledgeReward","ReputationReward","ReputationCancelCost","CountInAutoGeneration","Tier","Tag1","Tag2","Tag3","Tag4","Tag5"
"Task0100","TID_HARBOR_TASK","Clay",30,"Coins",210,,,,,0,100,3,"Coin","Basic","SizeBig","Construction",
"Task0101","TID_HARBOR_TASK","Wool",8,"Coins",120,,,,,0,80,3,"Coin","Basic","SizeSmall","Clothes","NotConstruction"
"Task0102","TID_HARBOR_TASK","Wool",10,"Coins",150,,,,,0,80,3,"Coin","Basic","SizeSmall","Clothes","NotConstruction"
"Task0103","TID_HARBOR_TASK","Wool",12,"Coins",190,,,,,0,80,3,"Coin","Basic","SizeBig","Clothes","NotConstruction"
"Task0104","TID_HARBOR_TASK","Wool",13,"Coins",200,,,,,0,80,3,"Coin","Basic","SizeBig","Clothes","NotConstruction"
"Task0105","TID_HARBOR_TASK","Socks",2,"Coins",160,,,,,0,100,3,"Coin","Basic","SizeSmall","Clothes","NotConstruction"
"Task0106","TID_HARBOR_TASK","Socks",2,"Coins",160,,,,,0,100,3,"Coin","Basic","SizeSmall","Clothes","NotConstruction"
"Task0107","TID_HARBOR_TASK","Socks",2,"Coins",160,,,,,0,100,3,"Coin","Basic","SizeBig","Clothes","NotConstruction"
"Task0108","TID_HARBOR_TASK","Socks",3,"Coins",240,,,,,0,100,3,"Coin","Basic","SizeBig","Clothes","NotConstruction"
"Task0109","TID_HARBOR_TASK","Figurine",5,"Coins",140,,,,,0,100,3,"Coin","Basic","SizeSmall","Crafts","NotConstruction"
"Task0110","TID_HARBOR_TASK","Figurine",5,"Coins",140,,,,,0,100,3,"Coin","Basic","SizeSmall","Crafts","NotConstruction"
"Task0111","TID_HARBOR_TASK","Figurine",6,"Coins",170,,,,,0,100,3,"Coin","Basic","SizeBig","Crafts","NotConstruction"
"Task0112","TID_HARBOR_TASK","Figurine",7,"Coins",200,,,,,0,100,3,"Coin","Basic","SizeBig","Crafts","NotConstruction"
"Task0113","TID_HARBOR_TASK","Bread",3,"Coins",150,,,,,0,100,3,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0114","TID_HARBOR_TASK","Bread",3,"Coins",150,,,,,0,100,3,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0115","TID_HARBOR_TASK","Bread",4,"Coins",200,,,,,0,100,3,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0116","TID_HARBOR_TASK","Bread",4,"Coins",200,,,,,0,100,3,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0117","TID_HARBOR_TASK","Wheat",7,"Coins",140,,,,,0,80,3,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0118","TID_HARBOR_TASK","Wheat",8,"Coins",160,,,,,0,80,3,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0119","TID_HARBOR_TASK","Wheat",9,"Coins",180,,,,,0,80,3,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0120","TID_HARBOR_TASK","Wheat",10,"Coins",200,,,,,0,80,3,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0121","TID_HARBOR_TASK","BerryPie",1,"Coins",150,,,,,0,100,3,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0122","TID_HARBOR_TASK","BerryPie",1,"Coins",150,,,,,0,100,3,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0123","TID_HARBOR_TASK","BerryPie",2,"Coins",300,,,,,0,100,3,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0124","TID_HARBOR_TASK","BerryPie",2,"Coins",300,,,,,0,100,3,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0125","TID_HARBOR_TASK","Flour",5,"Coins",140,,,,,0,100,3,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0126","TID_HARBOR_TASK","Flour",5,"Coins",140,,,,,0,100,3,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0127","TID_HARBOR_TASK","Flour",6,"Coins",170,,,,,0,100,3,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0128","TID_HARBOR_TASK","Flour",7,"Coins",200,,,,,0,100,3,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0129","TID_HARBOR_TASK","Stone",18,"Coins",130,,,,,0,100,3,"Coin","Basic","SizeSmall","Construction",
"Task0130","TID_HARBOR_TASK","Stone",22,"Coins",150,,,,,0,100,3,"Coin","Basic","SizeSmall","Construction",
"Task0131","TID_HARBOR_TASK","Stone",25,"Coins",180,,,,,0,100,3,"Coin","Basic","SizeBig","Construction",
"Task0132","TID_HARBOR_TASK","Stone",29,"Coins",200,,,,,0,100,3,"Coin","Basic","SizeBig","Construction",
"Task0133","TID_HARBOR_TASK","Cotton",6,"Coins",130,,,,,0,80,3,"Coin","Basic","SizeSmall","Clothes","NotConstruction"
"Task0134","TID_HARBOR_TASK","Cotton",7,"Coins",150,,,,,0,80,3,"Coin","Basic","SizeSmall","Clothes","NotConstruction"
"Task0135","TID_HARBOR_TASK","Cotton",8,"Coins",180,,,,,0,80,3,"Coin","Basic","SizeBig","Clothes","NotConstruction"
"Task0136","TID_HARBOR_TASK","Cotton",9,"Coins",200,,,,,0,80,3,"Coin","Basic","SizeBig","Clothes","NotConstruction"
"Task0137","TID_HARBOR_TASK","HoneyCookie",1,"Coins",90,,,,,0,100,3,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0138","TID_HARBOR_TASK","HoneyCookie",2,"Coins",180,,,,,0,100,3,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0139","TID_HARBOR_TASK","HoneyCookie",2,"Coins",180,,,,,0,100,3,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0140","TID_HARBOR_TASK","HoneyCookie",2,"Coins",180,,,,,0,100,3,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0141","TID_HARBOR_TASK","Trousers",1,"Coins",110,,,,,0,100,3,"Coin","Basic","SizeSmall","Clothes","NotConstruction"
"Task0142","TID_HARBOR_TASK","Trousers",1,"Coins",110,,,,,0,100,3,"Coin","Basic","SizeSmall","Clothes","NotConstruction"
"Task0143","TID_HARBOR_TASK","Trousers",2,"Coins",220,,,,,0,100,3,"Coin","Basic","SizeBig","Clothes","NotConstruction"
"Task0144","TID_HARBOR_TASK","Trousers",2,"Coins",220,,,,,0,100,3,"Coin","Basic","SizeBig","Clothes","NotConstruction"
"Task0145","TID_HARBOR_TASK","Honey",9,"Coins",120,,,,,0,30,3,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0146","TID_HARBOR_TASK","Honey",11,"Coins",150,,,,,0,30,3,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0147","TID_HARBOR_TASK","Honey",13,"Coins",180,,,,,0,30,3,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0148","TID_HARBOR_TASK","Honey",15,"Coins",210,,,,,0,30,3,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0149","TID_HARBOR_TASK","Wood",33,"Coins",190,,,,,0,100,4,"Coin","Basic","SizeSmall","Construction",
"Task0150","TID_HARBOR_TASK","Wood",38,"Coins",210,,,,,0,100,4,"Coin","Basic","SizeSmall","Construction",
"Task0151","TID_HARBOR_TASK","Wood",43,"Coins",240,,,,,0,100,4,"Coin","Basic","SizeBig","Construction",
"Task0152","TID_HARBOR_TASK","Wood",47,"Coins",260,,,,,0,100,4,"Coin","Basic","SizeBig","Construction",
"Task0153","TID_HARBOR_TASK","Berry",15,"Coins",190,,,,,0,10,4,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0154","TID_HARBOR_TASK","Berry",17,"Coins",210,,,,,0,10,4,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0155","TID_HARBOR_TASK","Berry",19,"Coins",240,,,,,0,10,4,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0156","TID_HARBOR_TASK","Berry",21,"Coins",260,,,,,0,10,4,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0157","TID_HARBOR_TASK","Mushroom",11,"Coins",190,,,,,0,10,4,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0158","TID_HARBOR_TASK","Mushroom",12,"Coins",210,,,,,0,10,4,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0159","TID_HARBOR_TASK","Mushroom",14,"Coins",250,,,,,0,10,4,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0160","TID_HARBOR_TASK","Mushroom",15,"Coins",260,,,,,0,10,4,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0161","TID_HARBOR_TASK","Egg",20,"Coins",190,,,,,0,10,4,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0162","TID_HARBOR_TASK","Egg",23,"Coins",210,,,,,0,10,4,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0163","TID_HARBOR_TASK","Egg",26,"Coins",240,,,,,0,10,4,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0164","TID_HARBOR_TASK","Egg",29,"Coins",270,,,,,0,10,4,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0165","TID_HARBOR_TASK","Clay",27,"Coins",180,,,,,0,100,4,"Coin","Basic","SizeSmall","Construction",
"Task0166","TID_HARBOR_TASK","Clay",31,"Coins",210,,,,,0,100,4,"Coin","Basic","SizeSmall","Construction",
"Task0167","TID_HARBOR_TASK","Clay",35,"Coins",240,,,,,0,100,4,"Coin","Basic","SizeBig","Construction",
"Task0168","TID_HARBOR_TASK","Clay",39,"Coins",270,,,,,0,100,4,"Coin","Basic","SizeBig","Construction",
"Task0169","TID_HARBOR_TASK","Wool",12,"Coins",190,,,,,0,70,4,"Coin","Basic","SizeSmall","Clothes","NotConstruction"
"Task0170","TID_HARBOR_TASK","Wool",14,"Coins",220,,,,,0,70,4,"Coin","Basic","SizeSmall","Clothes","NotConstruction"
"Task0171","TID_HARBOR_TASK","Wool",16,"Coins",250,,,,,0,70,4,"Coin","Basic","SizeBig","Clothes","NotConstruction"
"Task0172","TID_HARBOR_TASK","Wool",17,"Coins",260,,,,,0,70,4,"Coin","Basic","SizeBig","Clothes","NotConstruction"
"Task0173","TID_HARBOR_TASK","Socks",2,"Coins",160,,,,,0,100,4,"Coin","Basic","SizeSmall","Clothes","NotConstruction"
"Task0174","TID_HARBOR_TASK","Socks",3,"Coins",240,,,,,0,100,4,"Coin","Basic","SizeSmall","Clothes","NotConstruction"
"Task0175","TID_HARBOR_TASK","Socks",3,"Coins",240,,,,,0,100,4,"Coin","Basic","SizeBig","Clothes","NotConstruction"
"Task0176","TID_HARBOR_TASK","Socks",3,"Coins",240,,,,,0,100,4,"Coin","Basic","SizeBig","Clothes","NotConstruction"
"Task0177","TID_HARBOR_TASK","Figurine",7,"Coins",200,,,,,0,100,4,"Coin","Basic","SizeSmall","Crafts","NotConstruction"
"Task0178","TID_HARBOR_TASK","Figurine",7,"Coins",200,,,,,0,100,4,"Coin","Basic","SizeSmall","Crafts","NotConstruction"
"Task0179","TID_HARBOR_TASK","Figurine",8,"Coins",230,,,,,0,100,4,"Coin","Basic","SizeBig","Crafts","NotConstruction"
"Task0180","TID_HARBOR_TASK","Figurine",9,"Coins",260,,,,,0,100,4,"Coin","Basic","SizeBig","Crafts","NotConstruction"
"Task0181","TID_HARBOR_TASK","Bread",4,"Coins",200,,,,,0,100,4,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0182","TID_HARBOR_TASK","Bread",4,"Coins",200,,,,,0,100,4,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0183","TID_HARBOR_TASK","Bread",5,"Coins",250,,,,,0,100,4,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0184","TID_HARBOR_TASK","Bread",5,"Coins",250,,,,,0,100,4,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0185","TID_HARBOR_TASK","Wheat",9,"Coins",180,,,,,0,70,4,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0186","TID_HARBOR_TASK","Wheat",11,"Coins",220,,,,,0,70,4,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0187","TID_HARBOR_TASK","Wheat",12,"Coins",240,,,,,0,70,4,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0188","TID_HARBOR_TASK","Wheat",14,"Coins",280,,,,,0,70,4,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0189","TID_HARBOR_TASK","BerryPie",1,"Coins",150,,,,,0,100,4,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0190","TID_HARBOR_TASK","BerryPie",1,"Coins",150,,,,,0,100,4,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0191","TID_HARBOR_TASK","BerryPie",2,"Coins",300,,,,,0,100,4,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0192","TID_HARBOR_TASK","BerryPie",2,"Coins",300,,,,,0,100,4,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0193","TID_HARBOR_TASK","Flour",7,"Coins",200,,,,,0,100,4,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0194","TID_HARBOR_TASK","Flour",8,"Coins",220,,,,,0,100,4,"Coin","Basic","SizeSmall","Food","NotConstruction"
"Task0195","TID_HARBOR_TASK","Flour",9,"Coins",250,,,,,0,100,4,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0196","TID_HARBOR_TASK","Flour",9,"Coins",250,,,,,0,100,4,"Coin","Basic","SizeBig","Food","NotConstruction"
"Task0197","TID_HARBOR_TASK","Stone",27,"Coins",190,,,,,0,100,4,"Coin","Basic","SizeSmall","Construction",
"Task0198","TID_HARBOR_TASK","Stone",30,"Coins",210,,,,,0,100,4,"Coin","Basic","SizeSmall","Construction",
"Task0199","TID_HARBOR_TASK","Stone",34,"Coins",240,,,,,0,100,4,"Coin","Basic","SizeBig","Construction",
