"ResourceCount","T1","T2","T3","T4","T5","T6","T7","T8","T9","T10","T11","T12","T13","T14","T15","T16","T17","T18","T19","T20","T21","T22","T23","T24","T25","T26","T27","T28","T29","T30"
1850,180,180,180,180,180,180,120,100,90,90,80,80,70,70,70,,,,,,,,,,,,,,,
1860,180,180,180,180,180,180,120,100,100,90,80,80,70,70,70,,,,,,,,,,,,,,,
1870,190,180,180,180,180,180,120,100,100,90,80,80,70,70,70,,,,,,,,,,,,,,,
1880,190,180,180,180,180,180,120,110,100,90,80,80,70,70,70,,,,,,,,,,,,,,,
1890,190,190,180,180,180,180,120,110,100,90,80,80,70,70,70,,,,,,,,,,,,,,,
1900,190,190,180,180,180,180,120,110,100,90,80,80,80,70,70,,,,,,,,,,,,,,,
1910,190,190,190,180,180,180,120,110,100,90,80,80,80,70,70,,,,,,,,,,,,,,,
1920,190,190,190,180,180,180,120,110,100,90,90,80,80,70,70,,,,,,,,,,,,,,,
1930,190,190,190,190,180,180,120,110,100,90,90,80,80,70,70,,,,,,,,,,,,,,,
1940,190,190,190,190,190,180,120,110,100,90,90,80,80,70,70,,,,,,,,,,,,,,,
1950,190,190,190,190,190,190,120,110,100,90,90,80,80,70,70,,,,,,,,,,,,,,,
1960,200,190,190,190,190,190,120,110,100,90,90,80,80,70,70,,,,,,,,,,,,,,,
1970,200,200,190,190,190,190,120,110,100,90,90,80,80,70,70,,,,,,,,,,,,,,,
1980,200,200,200,190,190,190,120,110,100,90,90,80,80,70,70,,,,,,,,,,,,,,,
1990,200,200,200,190,190,190,120,110,100,90,90,80,80,80,70,,,,,,,,,,,,,,,
2000,200,200,200,190,190,190,120,110,100,100,90,80,80,80,70,,,,,,,,,,,,,,,
2100,210,210,200,200,200,200,130,120,110,100,90,90,80,80,80,,,,,,,,,,,,,,,
2200,220,220,210,210,210,210,140,120,110,110,100,90,90,80,80,,,,,,,,,,,,,,,
2300,230,230,220,220,220,220,140,130,120,110,100,100,90,90,80,,,,,,,,,,,,,,,
2400,240,230,230,230,230,230,150,140,120,110,110,100,100,90,90,,,,,,,,,,,,,,,
2500,240,240,240,240,240,240,160,140,130,120,110,110,100,100,90,,,,,,,,,,,,,,,
2600,260,250,250,250,250,250,160,150,130,120,120,110,100,100,100,,,,,,,,,,,,,,,
2700,270,260,260,260,260,260,170,150,140,130,120,110,110,100,100,,,,,,,,,,,,,,,
2800,270,270,270,270,270,270,170,160,150,130,130,120,110,110,100,,,,,,,,,,,,,,,
2900,280,280,280,280,280,280,180,160,150,140,130,120,120,110,110,,,,,,,,,,,,,,,
3000,270,270,260,260,260,260,170,150,140,130,120,120,110,100,100,100,90,90,,,,,,,,,,,,
3100,270,270,270,270,270,270,170,160,150,130,130,120,110,110,100,100,100,100,,,,,,,,,,,,
3200,280,280,280,280,280,280,180,160,150,140,130,120,120,110,110,100,100,100,,,,,,,,,,,,
3300,290,290,290,290,280,280,190,170,160,140,130,130,120,120,110,110,100,100,,,,,,,,,,,,
3400,300,300,300,300,300,290,190,170,160,150,140,130,120,120,110,110,110,100,,,,,,,,,,,,
3500,310,310,310,300,300,300,200,180,160,150,140,140,130,120,120,110,110,110,,,,,,,,,,,,
3600,320,320,310,310,310,310,200,180,170,160,150,140,130,130,120,120,110,110,,,,,,,,,,,,
3700,330,330,320,320,320,320,210,190,180,160,150,140,140,130,120,120,110,110,,,,,,,,,,,,
3800,330,330,330,330,330,330,210,190,180,170,160,150,140,130,130,120,120,120,,,,,,,,,,,,
3900,340,340,340,340,340,340,220,200,180,170,160,150,140,140,130,130,120,120,,,,,,,,,,,,
4000,320,320,320,320,320,320,210,190,170,160,150,140,140,130,120,120,110,110,110,110,110,,,,,,,,,
4100,330,330,330,320,320,320,210,190,180,160,150,140,140,130,130,120,120,120,120,120,120,,,,,,,,,
4200,340,340,330,330,330,330,220,200,180,170,160,150,140,130,130,120,120,120,120,120,120,,,,,,,,,
4300,350,350,340,340,340,340,220,200,190,170,160,150,150,140,130,130,120,120,120,120,120,,,,,,,,,
4400,350,350,350,350,340,340,230,210,190,180,160,160,150,140,140,130,130,130,130,120,120,,,,,,,,,
4500,360,360,360,360,360,350,230,210,190,180,170,160,150,140,140,130,130,130,130,130,130,,,,,,,,,
4600,370,370,370,360,360,360,240,220,200,180,170,160,160,150,140,140,130,130,130,130,130,,,,,,,,,
4700,380,380,380,370,370,370,240,220,200,190,180,170,160,150,150,140,130,130,130,130,130,,,,,,,,,
4800,380,380,380,380,380,380,250,220,210,190,180,170,160,150,150,140,140,140,140,140,140,,,,,,,,,
4900,390,390,390,390,390,380,250,230,210,200,180,170,170,160,150,150,140,140,140,140,140,,,,,,,,,
5000,370,370,370,360,360,360,240,220,200,190,170,160,160,150,140,140,130,130,130,130,130,130,130,130,,,,,,
5100,380,380,380,370,370,370,250,220,200,190,180,170,160,150,150,140,130,130,130,130,130,130,130,130,,,,,,
5200,380,380,380,380,370,370,250,220,210,190,180,170,160,150,150,140,140,140,140,140,140,140,140,140,,,,,,
5300,390,390,390,390,390,380,250,230,210,200,180,170,160,160,150,140,140,140,140,140,140,140,140,140,,,,,,
5400,400,400,400,390,390,390,260,230,220,200,190,180,170,160,150,150,140,140,140,140,140,140,140,140,,,,,,
5500,410,410,400,400,400,400,260,240,220,200,190,180,170,160,160,150,150,150,150,140,140,140,140,140,,,,,,
5600,410,410,410,410,400,400,270,240,220,210,190,180,170,170,160,150,150,150,150,150,150,150,150,150,,,,,,
5700,420,420,410,410,410,410,270,250,230,210,200,190,180,170,160,160,150,150,150,150,150,150,150,150,,,,,,
5800,430,430,430,420,420,420,280,250,230,220,200,190,180,170,170,160,150,150,150,150,150,150,150,150,,,,,,
5900,430,430,430,430,430,430,280,260,230,220,200,190,180,170,170,160,160,160,160,160,160,160,150,150,,,,,,
6000,440,440,440,430,430,430,280,260,240,220,210,200,190,180,170,160,160,160,160,160,160,160,160,160,,,,,,
6100,450,450,450,450,440,440,290,260,240,230,210,200,190,180,170,170,160,160,160,160,160,160,160,160,,,,,,
6200,460,460,450,450,450,450,300,270,250,230,220,200,190,190,180,170,160,160,160,160,160,160,160,160,,,,,,
6300,460,460,450,450,450,450,300,270,250,230,220,210,200,190,180,170,170,170,170,170,170,170,170,170,,,,,,
6400,470,470,470,460,460,460,300,280,250,240,220,210,200,190,180,180,170,170,170,170,170,170,170,170,,,,,,
6500,480,480,480,470,470,470,310,280,260,240,230,210,200,190,190,180,170,170,170,170,170,170,170,170,,,,,,
6600,480,480,480,480,480,480,320,290,260,240,230,220,210,200,190,180,180,180,170,170,170,170,170,170,,,,,,
6700,490,490,480,480,480,480,320,290,270,250,230,220,210,200,190,180,180,180,180,180,180,180,180,180,,,,,,
6800,500,500,500,490,490,490,330,290,270,250,240,220,210,200,190,190,180,180,180,180,180,180,180,180,,,,,,
6900,510,500,500,500,500,500,330,300,270,260,240,230,220,210,200,190,180,180,180,180,180,180,180,180,,,,,,
7000,480,480,470,470,470,470,310,280,260,240,230,210,200,190,190,180,170,170,170,170,170,170,170,170,170,170,170,,,
8000,600,600,600,600,600,500,300,300,300,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,,,
9000,700,700,700,700,600,600,400,400,300,300,300,300,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,,,
10000,800,800,800,800,700,700,500,400,400,300,300,300,300,300,200,200,200,200,200,200,200,200,200,200,200,200,200,,,
11000,900,900,800,800,800,800,500,500,400,400,400,300,300,300,300,300,300,200,200,200,200,200,200,200,200,200,200,,,
12000,900,900,800,800,800,800,500,500,400,400,400,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,,,
13000,1000,1000,900,900,900,900,600,500,500,400,400,400,400,300,300,300,300,300,300,300,300,300,300,300,300,300,300,,,
14000,1100,1100,1000,1000,1000,1000,600,600,500,500,400,400,400,400,400,300,300,300,300,300,300,300,300,300,300,300,300,,,
15000,1100,1100,1100,1100,1100,1100,700,600,600,500,500,500,400,400,400,400,400,300,300,300,300,300,300,300,300,300,300,,,
16000,1100,1100,1100,1100,1100,1100,700,600,600,500,500,500,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,,,
17000,1200,1200,1200,1200,1200,1200,800,700,600,600,500,500,500,400,400,400,400,400,400,400,400,400,400,400,400,400,400,,,
18000,1300,1300,1300,1300,1300,1300,800,700,700,600,600,500,500,500,500,400,400,400,400,400,400,400,400,400,400,400,400,,,
19000,1400,1400,1400,1400,1300,1300,900,800,700,700,600,600,500,500,500,500,500,400,400,400,400,400,400,400,400,400,400,,,
20000,1400,1400,1400,1400,1300,1300,900,800,700,700,600,600,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,,,
21000,1500,1500,1500,1500,1400,1400,900,800,800,700,700,600,600,600,500,500,500,500,500,500,500,500,500,500,500,500,500,,,
22000,1600,1600,1600,1500,1500,1500,1000,900,800,800,700,700,600,600,600,500,500,500,500,500,500,500,500,500,500,500,500,,,
23000,1600,1500,1500,1500,1500,1500,1000,900,800,700,700,600,600,600,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500
24000,1700,1600,1600,1600,1600,1600,1000,900,800,800,700,700,600,600,600,600,500,500,500,500,500,500,500,500,500,500,500,500,500,500
25000,1700,1700,1700,1600,1600,1600,1000,900,900,800,700,700,700,600,600,600,600,600,600,600,600,600,500,500,500,500,500,500,500,500
26000,1700,1700,1700,1600,1600,1600,1100,900,900,800,800,700,700,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
27000,1800,1800,1800,1700,1700,1700,1100,1000,900,900,800,800,700,700,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
28000,1900,1900,1800,1800,1800,1800,1200,1100,1000,900,800,800,700,700,700,700,600,600,600,600,600,600,600,600,600,600,600,600,600,600
29000,2000,1900,1900,1900,1900,1900,1200,1100,1000,900,900,800,800,700,700,700,700,700,700,600,600,600,600,600,600,600,600,600,600,600
30000,2000,1900,1900,1900,1900,1900,1200,1100,1000,900,900,800,800,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,600
31000,2000,2000,2000,2000,2000,1900,1300,1100,1100,1000,900,900,800,800,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
32000,2100,2100,2100,2100,2100,2000,1300,1200,1100,1000,1000,900,900,800,800,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700
33000,2200,2200,2200,2100,2100,2100,1400,1300,1200,1100,1000,900,900,900,800,800,700,700,700,700,700,700,700,700,700,700,700,700,700,700
34000,2200,2200,2200,2100,2100,2100,1400,1300,1200,1100,1000,900,900,900,800,800,800,800,800,800,800,800,800,800,800,800,700,700,700,700
35000,2300,2300,2200,2200,2200,2200,1400,1300,1200,1100,1000,1000,900,900,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800
36000,2400,2300,2300,2300,2300,2300,1500,1400,1200,1100,1100,1000,1000,900,900,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800
37000,2400,2400,2400,2400,2400,2400,1500,1400,1300,1200,1100,1100,1000,1000,900,900,800,800,800,800,800,800,800,800,800,800,800,800,800,800
38000,2500,2500,2400,2400,2400,2400,1600,1400,1300,1200,1100,1100,1000,1000,900,900,900,900,900,900,900,900,900,800,800,800,800,800,800,800
39000,2500,2500,2500,2500,2500,2400,1600,1400,1300,1200,1100,1100,1000,1000,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
40000,2600,2600,2600,2500,2500,2500,1600,1500,1400,1300,1200,1100,1100,1000,1000,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
41000,2700,2700,2700,2600,2600,2600,1700,1500,1400,1300,1200,1200,1100,1100,1000,1000,900,900,900,900,900,900,900,900,900,900,900,900,900,900
42000,2700,2700,2700,2700,2700,2700,1700,1600,1500,1300,1300,1200,1100,1100,1000,1000,1000,1000,1000,1000,900,900,900,900,900,900,900,900,900,900
43000,2700,2700,2700,2700,2700,2700,1700,1600,1500,1300,1300,1200,1100,1100,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
